tissue,species
Mesenteric,Mus musculus
Subcortex,Mus musculus
Cd14+ monocytes,Homo sapiens
Small intestine,Mus musculus
Tonsil,Homo sapiens
Cultured embryonic stem cells,Homo sapiens
Cortex,Mus musculus
Lung progenitors,Homo sapiens
Embryonic kidney cortex,Homo sapiens
Ventral midbrain,Mus musculus
Bone marrow stem cells,Mus musculus
Caudal ganglionic eminence,Mus musculus
Cervical and lumbar spinal cord,Mus musculus
Colon,Mus musculus
Medial ganglionic eminence,Mus musculus
Lung mesenchyme,Mus musculus
Kidney cortex,Homo sapiens
Aortic leukocytes,Mus musculus
Subventricular zone,Mus musculus
Trigeminal neurons,Mus musculus
Bone marrow,Mus musculus
Alveolar rhabdomyosarcoma,Homo sapiens
Peripheral blood mononuclear cells,Homo sapiens
Mammary gland,Mus musculus
Embryo,Mus musculus
Bladder,Mus musculus
Brain,Mus musculus
Muscle,Mus musculus
Blood,Mus musculus
Rib,Mus musculus
Testis,Mus musculus
Fetal brain,Mus musculus
Thymus,Mus musculus
Placenta,Mus musculus
Lung,Mus musculus
Fetal kidney,Mus musculus
Calvaria,Mus musculus
Kidney,Mus musculus
Spleen,Mus musculus
Pancreas,Mus musculus
Fetal intestine,Mus musculus
Fetal stomach,Mus musculus
Liver,Mus musculus
Fetal lung,Mus musculus
Stomach,Mus musculus
Mesenchymal stem cell,Mus musculus
Fetal gonad,Mus musculus
Skin,Mus musculus
Fetal liver,Mus musculus
Ovary,Mus musculus
Trophoblast,Mus musculus
Cerebellum,Mus musculus
Uterus,Mus musculus
Medulla oblongata,Mus musculus
Thalamus,Mus musculus
Dorsal root ganglion,Mus musculus
Hippocampus,Mus musculus
Dorsal striatum,Mus musculus
Ventral striatum,Mus musculus
Dentate gyrus,Mus musculus
Hippocampus (ca1),Mus musculus
Neo-cortex,Mus musculus
Spinal cord,Mus musculus
Pons,Mus musculus
Hypothalamus,Mus musculus
Amygdala,Mus musculus
Olfactory bulb?,Mus musculus
Dorsal midbrain,Mus musculus
Cortex 1,Mus musculus
Mesencephalon?,Mus musculus
Olfactory bulb,Mus musculus
Cortex 3,Mus musculus
Cortex 2,Mus musculus
Somatosensory cortex,Mus musculus
Enteric nervous system,Mus musculus
Sympathetic nervous system,Mus musculus
"Cortex, hippocampus and subventricular zone",Mus musculus
Neurons,Mus musculus
Mammary epithelial cells,Mus musculus
Left Ventricle,Mus musculus
Microglia,Mus musculus
Intestinal crypt epithelium,Mus musculus
Human embryo forebrain,Homo sapiens
Neonatal mouse stomach explants,Mus musculus
Neonatal mouse stomach organoid,Mus musculus
Airway submucosal glandular epithelial cells,Mus musculus
Epithelial cells in airway luminal surface,Mus musculus
Stomach organoid,Mus musculus
Arcuate-median eminence,Mus musculus
Fetal kidney,Homo sapiens
Lks+ hematopoietic stem cells,Mus musculus
Mammary gland epithelium cell,Mus musculus
Lsk cells from bone marrow,Mus musculus
Hepatocellular carcinoma,Homo sapiens
Peripheral blood mononuclear cell,Homo sapiens
Pulmonary alveolar type i cells,Mus musculus
Kidney organoids,Homo sapiens
Lymph node,Homo sapiens
Pulmonary alveolar type ii cells,Mus musculus
Melanoma,Homo sapiens
B cells,Homo sapiens
Ovarian tumor,Homo sapiens
Brain,Homo sapiens
Renal cortex,Mus musculus
Embryonic kidney,Mus musculus
Whole kidney,Mus musculus
Tumor,Homo sapiens
Heart,Mus musculus
Embryoid body,Homo sapiens
Embryonic stem cell,Homo sapiens
Lacrimal gland,Mus musculus
Umbilical vein endothelial cells,Homo sapiens
Embryoid body,Mus musculus
Breast epithelium,Homo sapiens
Bone marrow,Homo sapiens
Retina,Mus musculus
Medial amygdala,Mus musculus
Adipose,Homo sapiens
Lateral ganglionic eminence,Mus musculus
\N,\N
Aorta,Mus musculus
Retina,Homo sapiens
Neuronal epithelium,Homo sapiens
Endothelial cells,Homo sapiens
Heart valve,Mus musculus
Retinal ganglion cells,Mus musculus
Substantia nigra-ventral tegmental area,Mus musculus
Breast cancer cell line,Homo sapiens
Pancreatic islets,Homo sapiens
Embryonic fibroblasts,Mus musculus
Lateral geniculate nucleus,Mus musculus
Circulating tumor cells in hepatocellular carcinoma,Homo sapiens
Lung distal alveolar stromal cells,Homo sapiens
Oligodendrocyte cultures,Mus musculus
CD34+ cord blood cells,Homo sapiens
NK cells,Homo sapiens
ES-derived embryoid body,Mus musculus
Lung proximal airway stromal cells,Homo sapiens
Neural stem cells from subventricular zone,Mus musculus
Embryonic mouse mammary gland,Mus musculus
Cortex CA1,Mus musculus
Mammary epithelium,Homo sapiens
Striatum,Mus musculus
Dermis,Mus musculus
Nasal airway epithelium,Homo sapiens
White adipose tissue,Mus musculus
Cardiac progenitor cells,Mus musculus
Leukocytes from aortas,Mus musculus
Cortical organoids,Homo sapiens
Lung airway epithelial cells,Homo sapiens
Foam cells from aortas,Mus musculus
Cardiac tissue,Mus musculus
T cells,Homo sapiens
Subcutaneous innate lymphoid cells,Mus musculus
Dermal innate lymphoid cells,Mus musculus
Epidermal innate lymphoid cells,Mus musculus
Colon (Ulcerative Colitis),Homo sapiens
Colon,Homo sapiens
Skeletal muscle macrophages from hindlimb,Mus musculus
Hepatocyte-derived liver progenitor-like cells,Homo sapiens
Hippocampus (injury),Mus musculus
Hippocampus (24h Sham surgery),Mus musculus
Merkel Cell Carcinoma,Homo sapiens
PBMC,Homo sapiens
Embryonic skin,Mus musculus
Olfactory epithelium,Mus musculus
NK cells from spleen,Mus musculus
NK cells from spleen,Homo sapiens
NK cells from blood,Mus musculus
NK cells from blood,Homo sapiens
Bone marrow from melanoma tumor-bearing mice,Mus musculus
Umbilical cord blood,Homo sapiens
Immortalized gonadotrope cells,Mus musculus
Splenocytes enriched for B cells,Mus musculus
T cells,Mus musculus
Pituitary gland,Mus musculus
Spleen,Homo sapiens
SVZ-derived neural stem cells,Mus musculus
CD45+ cells,Mus musculus
Aortic cells,Mus musculus
Testicular cells,Homo sapiens
Liver,Homo sapiens
Testicle,Homo sapiens
Placenta,Homo sapiens
Decidua,Homo sapiens
Intestinal organoid epithelial cells,Mus musculus
CD24+ CD45- neuronal cells,Mus musculus
Submandibular Gland,Mus musculus
Mouse embryonic fibroblasts,Mus musculus
Yolk sack,Mus musculus
Cochlea,Mus musculus
Intraembryonic tissues,Mus musculus
Whole heart,Mus musculus
Cortical cells,Mus musculus
Blood CD8+ T lymphocytes,Homo sapiens
Preoptic region of the hypothalamus,Mus musculus
Mesenteric lymph nodes,Mus musculus
Periaortic lymph nodes,Mus musculus
Testis,Homo sapiens
Peripheral lymph node,Mus musculus
Ear skin,Mus musculus
Heart macrophages and dendritic cells,Mus musculus
Diencephalon,Mus musculus
Alpha cells,Homo sapiens
Beta cells,Homo sapiens
Pancreatic progenitor cells,Homo sapiens
Pancreatic progenitor cells,Mus musculus
Trachea,Mus musculus
Marrow,Mus musculus
Tongue,Mus musculus
Mammary tissue,Mus musculus
In vitro differentiation of mESCs into motor neurons,Mus musculus
Brain (neurons),Mus musculus
Fat,Mus musculus
ES-derived kidney organoid,Homo sapiens
Prostate,Homo sapiens
Mandible,Mus musculus
Pancreatic islets,Mus musculus
Lymphoblastoid cell line,Homo sapiens
Embryonic thymus,Mus musculus
Lung endoderm,Mus musculus
Monocyte-derived macrophages,Homo sapiens
Leukemic cells,Mus musculus
Embryonic stem cell line,Homo sapiens
Macrophage from E14.5,Mus musculus
Kaposi's sarcoma,Homo sapiens
Kaposi's sarcoma,Mus musculus
Thymocytes,Mus musculus
Prostate basal cells,Mus musculus
Sub-ventricular zone,Mus musculus
Mammary gland,Homo sapiens
Visual cortex,Mus musculus
Nerve,Mus musculus
Intestinal epithelium,Mus musculus
Peritoneal cavity cells,Mus musculus
Muscle satellite cells,Mus musculus
Inflamed area of colon,Homo sapiens
Bone marrow mesenchymal and endothelial cells,Mus musculus
Embryonic kidney,Homo sapiens
Unknown,Homo sapiens
Substantia nigra,Homo sapiens
Stria terminalis (brain),Mus musculus
Bed nucleus of the stria terminalis,Mus musculus
Cord blood,Homo sapiens
Sorted myeloid cells,Mus musculus
Tonsil CD14+ cells,Homo sapiens
Epidermal cells,Mus musculus
Hind limb muscles,Mus musculus
Tonsil CD4 T cells,Homo sapiens
Commensal-specific CD8+ T cells,Mus musculus
Gonadal adipose tissue,Mus musculus
Lungs,Homo sapiens
CD45+ dermal immune cells,Mus musculus
Distal small intestine,Mus musculus
Hindbrain,Mus musculus
Embryonic hindbrain,Mus musculus
Dura mater,Mus musculus
Choroid plexus,Mus musculus
Subdural meninges,Mus musculus
\N,Mus musculus
