item,itemLabel,cellontology
http://www.wikidata.org/entity/Q66568342,neural cell,CL_0002319
http://www.wikidata.org/entity/Q98603523,choroid plexus epithelial cell,CL_0000706
http://www.wikidata.org/entity/Q66568503,epithelial cell of choroid plexus,CL_0000706
http://www.wikidata.org/entity/Q3241787,pinealocyte,CL_0000652
http://www.wikidata.org/entity/Q43054,neuron,CL_0000540
http://www.wikidata.org/entity/Q184204,macrophage,CL_0000235
http://www.wikidata.org/entity/Q37187,red blood cell,CL_0000232
http://www.wikidata.org/entity/Q247101,melanocyte,CL_0000148
http://www.wikidata.org/entity/Q1133903,motor neuron,CL_0000100
http://www.wikidata.org/entity/Q71311873,ITGA11-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311871,TNNT2-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311867,BARX2-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311864,RPRM-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311857,RBM20-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311856,TWIST2-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311853,Q71311853,
http://www.wikidata.org/entity/Q71311851,RMST-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311849,ANXA1-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311846,CCDC68-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311249,TRABD2A-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311245,COBLL1-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311242,NPFFR2-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311239,SLC15A5-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311237,NR4A2-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311236,PIK3C2G-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311232,SULF1-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311229,GAS2L3-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311225,OLFML2B-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311224,LOC101928196-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311220,PALMD-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311217,PENK-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71311215,CBLN2-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309861,EGFEM1P-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309858,OLFML2B-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309855,RORB-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309853,CUX2-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309850,IL26-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309847,LOC105376457-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309845,PXDN-expressing human cerebral cortex MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309282,SLC17A7-expressing human MTG Glutamatergic neuron,
http://www.wikidata.org/entity/Q71309281,CSF1R-expressing human MTG Microglial cell,
