item,itemLabel,statements,ensg_wdt,entrez
Q14905444,LCAT,56,ENSG00000213398,3931
Q14905455,DHCR7,40,ENSG00000172893,1717
Q14905473,VHL,35,ENSG00000134086,7428
Q14905494,PTPN11,40,ENSG00000179295,5781
Q14905499,BGN,34,ENSG00000182492,633
Q14905502,LNPEP,29,ENSG00000113441,4012
Q14905515,ATXN1,40,ENSG00000124788,6310
Q14905526,CD1D,39,ENSG00000158473,912
Q14905542,HBB,33,ENSG00000244734,3043
Q14905545,MBD1,113,ENSG00000141644,4152
Q14905557,MYD88,51,ENSG00000172936,4615
Q14905564,UMOD,51,ENSG00000169344,7369
Q14905567,TNFSF11,34,ENSG00000120659,8600
Q14905573,TBXA2R,30,ENSG00000006638,6915
Q14905580,FUCA1,30,ENSG00000179163,2517
Q14905595,PHOX2B,23,ENSG00000109132,8929
Q14905606,FOXC2,25,ENSG00000176692,2303
Q14905618,NLRP3,48,ENSG00000162711,114548
Q14905625,CALCR,34,ENSG00000004948,799
Q14905630,CYP27A1,35,ENSG00000135929,1593
Q14905632,KCNA1,28,ENSG00000111262,3736
Q14905635,IDS,37,ENSG00000010404,3423
Q14905639,DCD,25,ENSG00000161634,117159
Q14905648,ELANE,33,ENSG00000197561,1991
Q14905648,ELANE,33,ENSG00000277571,1991
Q14905651,GP6,62,ENSG00000088053,51206
Q14905651,GP6,62,ENSG00000274050,51206
Q14905651,GP6,62,ENSG00000274566,51206
Q14905651,GP6,62,ENSG00000275633,51206
Q14905651,GP6,62,ENSG00000275931,51206
Q14905651,GP6,62,ENSG00000276065,51206
Q14905651,GP6,62,ENSG00000276211,51206
Q14905651,GP6,62,ENSG00000277439,51206
Q14905651,GP6,62,ENSG00000278316,51206
Q14905651,GP6,62,ENSG00000278670,51206
Q14905666,CYP11A1,48,ENSG00000140459,1583
Q14905666,CYP11A1,48,ENSG00000288362,1583
Q14905674,DCC,55,ENSG00000187323,1630
Q14905690,EIF2AK2,39,ENSG00000055332,5610
Q14905696,COL27A1,45,ENSG00000196739,85301
Q14905704,AURKA,52,ENSG00000087586,6790
Q14905707,SCN4A,31,ENSG00000007314,6329
Q14905729,SCN5A,51,ENSG00000183873,6331
Q14905744,CACNA1C,153,ENSG00000151067,775
Q14905744,CACNA1C,153,ENSG00000285479,775
Q14905759,KCNJ2,30,ENSG00000123700,3759
Q14905770,KCNE1,40,ENSG00000180509,3753
Q14905777,OCLN,40,ENSG00000197822,100506658
Q14905777,OCLN,40,ENSG00000273814,100506658
Q14905785,HJV,34,ENSG00000168509,148738
Q14906031,IL11,30,ENSG00000095752,3589
Q14906040,BTK,37,ENSG00000010671,695
Q14906072,PVR,31,ENSG00000073008,5817
Q14906081,AMPH,44,ENSG00000078053,273
Q14906101,MS4A1,38,ENSG00000156738,931
Q14906111,DSP,32,ENSG00000096696,1832
Q14906123,FOS,37,ENSG00000170345,2353
Q14906140,DAG1,62,ENSG00000173402,1605
Q14906152,UTRN,52,ENSG00000152818,7402
Q14906154,CTTN,64,ENSG00000085733,2017
Q14906154,CTTN,64,ENSG00000288401,2017
Q14906162,SPARC,38,ENSG00000113140,6678
Q14906168,GMNN,39,ENSG00000112312,51053
Q14906178,THY1,39,ENSG00000154096,7070
Q14906191,CNTF,25,ENSG00000242689,1270
Q14906204,HGF,48,ENSG00000019991,3082
Q14906268,GAP43,28,ENSG00000172020,2596
Q14906304,MAG,34,ENSG00000105695,4099
Q14906367,THBS1,38,ENSG00000137801,7057
Q14906371,SERPINA3,40,ENSG00000196136,12
Q14906383,MYOG,24,ENSG00000122180,4656
Q14906427,TWIST1,30,ENSG00000122691,7291
Q14906495,MITF,56,ENSG00000187098,4286
Q14906548,CTSG,28,ENSG00000100448,1511
Q14906591,PXN,76,ENSG00000089159,5829
Q14906663,MAPK9,54,ENSG00000050748,5601
Q14906753,MYCN,32,ENSG00000134323,4613
Q14906786,EPX,24,ENSG00000121053,8288
Q14906812,NES,24,ENSG00000132688,10763
Q14906847,COL3A1,47,ENSG00000168542,1281
Q14906890,ICOS,25,ENSG00000163600,29851
Q14906920,EMD,33,ENSG00000102119,2010
Q14906952,HLA-A,157,ENSG00000206503,3105
Q14906952,HLA-A,157,ENSG00000206505,3105
Q14906952,HLA-A,157,ENSG00000223980,3105
Q14906952,HLA-A,157,ENSG00000224320,3105
Q14906952,HLA-A,157,ENSG00000227715,3105
Q14906952,HLA-A,157,ENSG00000229215,3105
Q14906952,HLA-A,157,ENSG00000231834,3105
Q14906952,HLA-A,157,ENSG00000235657,3105
Q14906978,HLA-C,136,ENSG00000204525,3107
Q14906978,HLA-C,136,ENSG00000206435,3107
Q14906978,HLA-C,136,ENSG00000206452,3107
Q14906978,HLA-C,136,ENSG00000225691,3107
Q14906978,HLA-C,136,ENSG00000228299,3107
Q14906978,HLA-C,136,ENSG00000233841,3107
Q14906978,HLA-C,136,ENSG00000237022,3107
Q14907085,RUNX2,46,ENSG00000124813,860
Q14907096,LOX,35,ENSG00000113083,4015
Q14907110,ZAP70,43,ENSG00000115085,7535
Q14880759,TPMT,29,ENSG00000137364,7172
Q14880807,EP300,40,ENSG00000100393,2033
Q14880865,TCOF1,66,ENSG00000070814,6949
Q14881072,SELP,37,ENSG00000174175,6403
Q14881093,TAZ,77,ENSG00000102125,6901
Q14881099,SLC24A5,30,ENSG00000188467,283652
Q14881255,PRNP,43,ENSG00000171867,5621
Q14881694,TBXAS1,74,ENSG00000059377,6916
Q14881706,ABCA12,31,ENSG00000144452,26154
Q14881709,ADAMTS2,39,ENSG00000087116,9509
Q14881709,ADAMTS2,39,ENSG00000283802,9509
Q14881725,COL1A1,46,ENSG00000108821,1277
Q14881867,MEFV,41,ENSG00000103313,4210
Q14882120,ANG,28,ENSG00000214274,283
Q14882338,FMR1,55,ENSG00000102081,2332
Q14882371,HAMP,29,ENSG00000105697,57817
Q14882517,HTT,46,ENSG00000197386,3064
Q14882921,HMOX1,30,ENSG00000100292,3162
Q14883171,PLAUR,52,ENSG00000011422,5329
Q14883378,APC,27,ENSG00000134982,324
