item,itemLabel,statements,ensg_wdt,entrez
Q18312213,Gm14018,9,,100008564
Q18312214,Gm14964,6,,100008567
Q18312215,Zglp1,20,ENSMUSG00000079681,100009600
Q18312216,Vmn2r65,10,,100009609
Q18312217,Gm10024,13,,100009614
Q18312218,F630206G17Rik,10,,100009664
Q18312219,Gm14504,9,,100009698
Q18271138,AA589556,6,,100010
Q18271139,Oog3,17,ENSMUSG00000050810,100012
Q18271140,AA673240,6,,100014
Q18312220,Notumos,7,,100015211
Q18271142,Ldlrap1,23,ENSMUSG00000037295,100017
Q18271143,Mdn1,33,ENSMUSG00000058006,100019
Q18271144,AI115522,6,,100032
Q18312221,Gm13394,9,,100033452
Q18312222,Ifi208,22,ENSMUSG00000066677,100033459
Q18271145,AI115610,6,,100034
Q24327713,Wfdc17,10,,100034251
Q18312224,9330171B17Rik,7,,100034360
Q18312225,Mfap1b,16,,100034361
Q18312226,Tmsb15b2,10,,100034363
Q20953242,Gm12802,9,,100034661
Q18312227,Gm1969,9,,100034662
Q20951668,E430020m11rik,6,,100034673
Q20864242,Gm11335,17,ENSMUSG00000085016,100034675
Q18312228,Cstdc5,18,ENSMUSG00000071561,100034684
Q18312229,Rpl15-ps3,9,,100034724
Q18312230,Gm15772,10,,100034726
Q18312231,Rps12-ps3,9,,100034727
Q18312232,Rps12-ps4,9,,100034728
Q18312233,Gm15114,18,ENSMUSG00000079395,100034729
Q18312234,2610305J24Rik,7,,100034733
Q18312235,Gm17762,10,,100034739
Q18312236,A930017K11Rik,16,ENSMUSG00000025727,100034748
Q18312237,Trmq1,7,,100034757
Q18312238,Bpq7,7,,100034758
Q18312239,Mom3,6,,100034759
Q18312240,Ses3,7,,100034760
Q18312241,Mnif2,7,,100034761
Q18312242,Kcal1,7,,100034762
Q18312243,Mnif3,6,,100034763
Q18312244,Cdcs9,7,,100034764
Q18312245,Hfib2,6,,100034765
Q18312246,Ssial2,6,,100034766
Q18312247,Gvhd4,7,,100034767
Q18312248,Tcsz2,6,,100034768
Q18312249,Tcsz3,6,,100034769
Q18312250,Tshp2,6,,100034770
Q18312251,Tshp9,7,,100034771
Q18312252,Tshp10,7,,100034772
Q18312253,Tshp12,6,,100034773
Q18312254,Tshp15,6,,100034774
Q18312255,Tshp17,6,,100034775
Q18312256,Tshp18,6,,100034776
Q18312257,Paam2,6,,100034778
Q18312258,Sluc18,7,,100034779
Q18312259,Sluc25,6,,100034780
Q18312260,Kcal3,6,,100034781
Q18312261,Krcn1,7,,100034782
Q18312262,Nidds,6,,100034783
Q18312263,Hrtfm2,7,,100034784
Q18312264,Bmd16,7,,100034785
Q18312265,Bwq5,7,,100034786
Q18312266,Bdln3,7,,100034787
Q18312267,Bdln4,7,,100034788
Q18312268,Bwq6,7,,100034789
Q18312269,Ath17,7,,100034790
Q18312270,Hdlq9,7,,100034791
Q18312271,Hdlq10,7,,100034792
Q18312272,Hdlq11,7,,100034793
Q18312273,Hdlq12,7,,100034794
Q18312274,Ath20,7,,100034795
Q18312275,Nctm2,6,,100034796
Q18312276,Chol6,7,,100034797
Q18312277,Chol8,7,,100034798
Q18312278,Chol9,7,,100034799
Q18312279,Hsm1,7,,100034800
Q18312280,Tgq1,7,,100034801
Q18312281,Obq16,7,,100034802
Q18312282,Obq17,7,,100034803
Q18312283,Lmr6,7,,100034804
Q18312284,Pgia18,6,,100034805
Q18312285,Pgia22,6,,100034806
Q18312286,Cia12,6,,100034807
Q18312287,Cia13,6,,100034808
Q18312288,Cia16,6,,100034809
Q18312289,Cia19,6,,100034810
Q18312290,Lmr12,7,,100034811
