item,itemLabel,uberonid
Q9618,pancreas,0001264
Q27004,abomasum,
Q184484,Zehenendorgan,
Q596832,vestibular system,
Q618821,apodem,
Q657076,stinger,
Q660059,tentacle,
Q666412,cervix,0000002
Q767749,reticulum,
Q846958,thagomizer,4100121
Q977796,Parotoid gland,
Q1135563,mesentery,0002095
Q1151026,salt gland,0004758
Q1172934,wing,
Q1212935,placenta,
Q1283582,Paraglossa,
Q1306341,Furka,
Q1340255,rectum,0001155
Q1437033,glossa,
Q1617186,hibernaculum,
Q1621169,Submentum,
Q1869774,Lophophore,
Q1919686,melon,
Q1920977,Mentum,
Q2114808,prementum,
Q2368996,Stichosome,
Q2419844,human heart,0000948
Q2735865,Tracheal gills,
Q2837791,allantoplacenta,
Q3352114,omphaloplacenta,
Q3355924,Eimer's organ,
Q3541772,Cuvierian tubules,
Q5840431,Spicule (nematode),
Q5985227,Lamina,
Q6492411,Las Piñas Bamboo Organ,
Q7101777,Organ of Bojanus,
Q7525656,Siphon,
Q7831049,Trab,
Q9150600,anastomosis,
Q9380093,Q9380093,
Q16934855,Spermaceti organ,
Q17046440,Humeral spine,
Q18348371,Haptor,
Q18435020,Q18435020,
Q21584748,Squamodisc,
Q21596705,Lamellodisc,
Q41264492,eyelash,
Q41265771,Earlobe,
Q47015560,endolymphatic sac,0002223
Q51090914,interstitium,
Q51879510,Q51879510,
Q56354965,Paracnemis gland,
Q84225567,Pneumatophore,
Q84319817,Aboral organ,
Q96650319,Prelabium,
Q96652240,Postmentum,
Q96652405,Postlabium,
Q96678272,Postgenae,
Q96743500,Hypopharynx,
Q96755430,Baculum,
Q96755576,Spiculum ventrale,
Q96756077,Spiculum relictum,
Q96757802,Spiculum gastrale,
Q96761547,Coxite,
Q96761784,Gonocoxite,
Q96766444,"gonostyle, gonostylus",
