id,match,name,score,type,type_id,input_value
Q1570272,True,Purkinje cell,100.0,cell type,Q189118,Purkinje neurons
Q465621,True,Schwann cell,100.0,cell type,Q189118,Schwann cells
Q101062584,False,Peri-islet Schwann cell,72.0,cell type,Q189118,Schwann cells
Q17157019,False,Perisynaptic schwann cells,67.0,cell type,Q189118,Schwann cells
Q916698,True,oligodendrocyte,100.0,cell type,Q189118,Oligodendrocytes
Q1622829,True,microglia,100.0,cell type,Q189118,Microglia
Q502961,True,astrocyte,100.0,cell type,Q189118,Astrocytes
Q177105,True,glia,100.0,cell type,Q189118,Glia cells
Q101062673,False,Enteric glia cell,71.0,cell type,Q189118,Glia cells
Q101062516,False,Bergmann glia cell,69.0,cell type,Q189118,Glia cells
Q101404897,False,human radial glia cell,61.0,cell type,Q189118,Glia cells
Q104416169,False,mouse radial glia cell,61.0,cell type,Q189118,Glia cells
Q101405119,False,human enteric glia cell,59.0,cell type,Q189118,Glia cells
Q104416318,False,mouse enteric glia cell,59.0,cell type,Q189118,Glia cells
Q43054,True,neuron,100.0,cell type,Q189118,Neurons
Q1500732,False,interneuron,78.0,cell type,Q189118,Neurons
Q309082,False,mirror neuron,67.0,cell type,Q189118,Neurons
Q2384084,False,spindle neuron,67.0,cell type,Q189118,Neurons
Q1570272,False,Purkinje cell,61.0,cell type,Q189118,Neurons
Q863495,False,grid cell,56.0,cell type,Q189118,Neurons
Q12167532,True,cholinergic neurons,100.0,cell type,Q189118,Cholinergic neurons
Q101405051,False,human cholinergic neuron,86.0,cell type,Q189118,Cholinergic neurons
Q104416256,False,mouse cholinergic neuron,86.0,cell type,Q189118,Cholinergic neurons
Q104416299,False,mouse dopaminergic neuron,87.0,cell type,Q189118,Dopaminergic neurons
Q101003994,True,Immature neuron,100.0,cell type,Q189118,Immature neurons
Q101405067,False,human immature neuron,84.0,cell type,Q189118,Immature neurons
Q104416271,False,mouse immature neuron,84.0,cell type,Q189118,Immature neurons
Q101004030,True,Cortical interneurons,100.0,cell type,Q189118,Cortical interneurons
