id,match,name,score,type,type_id,input_value
Q1466317,False,mesenteric vein,80.0,vein,Q9609,Mesenteric
Q367570,False,superior mesenteric artery,62.0,artery,Q9655,Mesenteric
Q707384,False,inferior mesenteric artery,62.0,artery,Q9655,Mesenteric
Q751322,False,superior mesenteric vein,59.0,vein,Q9609,Mesenteric
Q3176575,False,inferior mesenteric vein,59.0,vein,Q9609,Mesenteric
Q66600617,False,Renal subcortex,37.5,[],,Subcortex
Q66599012,False,Cerebral subcortex,33.5,[],,Subcortex
Q66599011,False,Left cerebral subcortex,28.0,[],,Subcortex
Q66599010,False,Right cerebral subcortex,27.5,[],,Subcortex
Q66600619,False,Subcortex of left kidney,27.5,[],,Subcortex
Q66600618,False,Subcortex of right kidney,26.5,[],,Subcortex
Q66599014,False,region of cerebral subcortex,24.5,[],,Subcortex
,False,,,,,Cd14+ monocytes
Q11090,True,small intestine,100.0,anatomical structure,Q4936952,Small intestine
Q180569,True,tonsil,100.0,anatomical structure,Q4936952,Tonsil
Q552087,False,adenoid,67.0,anatomical structure,Q4936952,Tonsil
Q2442277,False,tubal tonsil,67.0,lymphatic tissue,Q3529455,Tonsil
,False,,,,,Cultured embryonic stem cells
Q1293511,True,cortex,100.0,plant structure,Q20011319,Cortex
Q19065,False,adrenal cortex,77.0,anatomical structure,Q4936952,Cortex
Q18696,False,motor cortex,71.0,cortex,Q2346577,Cortex
Q75785,False,visual cortex,71.0,anatomical structure,Q4936952,Cortex
Q5058180,False,cell cortex,71.0,cellular component,Q5058355,Cortex
Q2307492,False,renal cortex,67.0,anatomical structure,Q4936952,Cortex
Q18676,False,auditory cortex,60.0,brain region,Q1620186,Cortex
Q75839,False,cerebral cortex,60.0,brain region,Q1620186,Cortex
Q18717,False,orbitofrontal cortex,57.0,cortex,Q2346577,Cortex
Q2998090,False,premotor cortex,57.0,brain region,Q1620186,Cortex
Q18680,False,prefrontal cortex,52.0,brain region,Q1620186,Cortex
Q2603645,False,entorhinal cortex,52.0,brain region,Q1620186,Cortex
Q22327502,False,presynaptic active zone cytoplasmic component,41.0,cellular component,Q5058355,Cortex
Q644945,False,olfactory bulb,35.0,biogenic substance,Q289472,Cortex
Q72788,False,dorsolateral prefrontal cortex,33.0,anatomical structure,Q4936952,Cortex
Q14864171,False,cell periphery,32.0,cellular component,Q5058355,Cortex
,False,,,,,Lung progenitors
,False,,,,,Embryonic kidney cortex
,False,,,,,Ventral midbrain
Q1128050,False,hematopoietic stem cell transplantation,32.0,[],,Bone marrow stem cells
,False,,,,,Caudal ganglionic eminence
Q1097028,False,spondylosis,28.0,[],,Cervical and lumbar spinal cord
Q5982337,True,colon,100.0,anatomical structure,Q4936952,Colon
Q2619732,False,transverse colon,67.0,anatomical structure,Q4936952,Colon
Q2562556,False,ascending colon,62.0,anatomical structure,Q4936952,Colon
Q677253,False,sigmoid colon,59.0,anatomical structure,Q4936952,Colon
Q2562565,False,descending colon,59.0,anatomical structure,Q4936952,Colon
,False,,,,,Medial ganglionic eminence
,False,,,,,Lung mesenchyme
Q2307492,True,renal cortex,100.0,anatomical structure,Q4936952,Kidney cortex
Q28015618,False,cortical collecting duct,62.0,anatomical structure,Q4936952,Kidney cortex
,False,,,,,Aortic leukocytes
Q937403,False,Subventricular zone,50.0,[],,Subventricular zone
,False,,,,,Trigeminal neurons
Q546523,True,bone marrow,100.0,tissue,Q40397,Bone marrow
Q54905839,False,ML-1,27.0,cell line,Q21014462,Bone marrow
Q54749154,False,ALC,14.0,cell line,Q21014462,Bone marrow
Q54872129,False,H4-1,13.0,cell line,Q21014462,Bone marrow
Q54817183,False,D2,0.0,cell line,Q21014462,Bone marrow
Q4737958,False,alveolar rhabdomyosarcoma,50.0,[],,Alveolar rhabdomyosarcoma
Q18556182,False,mixed type rhabdomyosarcoma,44.5,[],,Alveolar rhabdomyosarcoma
Q18975867,False,conventional alveolar rhabdomyosarcoma,39.5,[],,Alveolar rhabdomyosarcoma
,False,,,,,Peripheral blood mononuclear cells
Q54900855,False,L-1,12.0,cell line,Q21014462,Mammary gland
Q172563,False,umbilical cord,46.0,anatomical structure,Q4936952,Embryo
Q54951387,False,RTE,46.0,cell line,Q21014462,Embryo
Q9382,True,urinary bladder,100.0,anatomical structure,Q4936952,Bladder
Q64386,False,gallbladder,78.0,anatomical structure,Q4936952,Bladder
Q96756123,False,pig's bladder,70.0,urinary bladder,Q9382,Bladder
Q9386,False,urethra,46.0,anatomical structure,Q4936952,Bladder
Q54605662,False,92-1,0.0,cell line,Q21014462,Bladder
