id,match,name,score,type,type_id,input_value
Q1570272,True,Purkinje cell,100.0,cell type,Q189118,Purkinje neurons
Q465621,True,Schwann cell,100.0,cell type,Q189118,Schwann cells
Q916698,True,oligodendrocyte,100.0,cell type,Q189118,Oligodendrocytes
Q1622829,True,microglia,100.0,cell type,Q189118,Microglia
Q502961,True,astrocyte,100.0,cell type,Q189118,Astrocytes
Q177105,True,glia,100.0,cell type,Q189118,Glia cells
Q43054,True,neuron,100.0,cell type,Q189118,Neurons
Q12167532,True,cholinergic neurons,100.0,cell type,Q189118,Cholinergic neurons
Q101003994,True,Immature neuron,100.0,cell type,Q189118,Immature neurons
Q101004030,True,Cortical interneurons,100.0,cell type,Q189118,Cortical interneurons
Q101001053,True,Astrocyte progenitor cell,100.0,cell type,Q189118,Astrocyte progenitor cells
Q7086819,True,Oligodendrocyte progenitor,100.0,cell type,Q189118,Oligodendrocyte progenitor cells
Q107988,True,Basophil,100.0,cell type,Q189118,Basophils
Q188930,True,B-cells,100.0,cell type,Q189118,B cells
Q1151519,True,embryonic stem cell,97.0,cell type,Q189118,Embryonic stem cells
Q107238,True,eosinophils,100.0,cell type,Q189118,Eosinophils
Q514525,True,hematopoietic stem cells,100.0,cell type,Q189118,Hematopoietic stem cells
Q101062469,True,Proximal tubule cell,100.0,cell type,Q189118,Proximal tubule cells
Q11394395,True,endothelial cells,100.0,cell type,Q189118,Endothelial cells
Q463418,True,fibroblast,100.0,cell type,Q189118,Fibroblasts
Q184204,True,macrophage,100.0,cell type,Q189118,Macrophages
Q191989,True,mast cells,100.0,cell type,Q189118,Mast cells
Q101062473,True,Human myeloid-derived suppressor cell,100.0,cell type,Q189118,Human myeloid-derived suppressor cells
Q101404944,True,human myeloid-derived suppressor cell,100.0,cell type,Q189118,Human myeloid-derived suppressor cells
Q101062478,True,Mouse myeloid-derived suppressor cell,100.0,cell type,Q189118,Mouse myeloid-derived suppressor cells
Q104416211,True,mouse myeloid-derived suppressor cell,100.0,cell type,Q189118,Mouse myeloid-derived suppressor cells
