item,itemLabel,statements,ensg_wdt,entrez,ensg_panglao,species
Q14905444,LCAT,56,ENSG00000213398,3931,ENSG00000213398,Homo sapiens
Q14905455,DHCR7,40,ENSG00000172893,1717,ENSG00000172893,Homo sapiens
Q14905473,VHL,35,ENSG00000134086,7428,ENSG00000134086,Homo sapiens
Q14905494,PTPN11,40,ENSG00000179295,5781,ENSG00000179295,Homo sapiens
Q14905499,BGN,34,ENSG00000182492,633,ENSG00000182492,Homo sapiens
Q14905502,LNPEP,29,ENSG00000113441,4012,ENSG00000113441,Homo sapiens
Q14905515,ATXN1,40,ENSG00000124788,6310,ENSG00000124788,Homo sapiens
Q14905526,CD1D,39,ENSG00000158473,912,ENSG00000158473,Homo sapiens
Q14905542,HBB,33,ENSG00000244734,3043,ENSG00000244734,Homo sapiens
Q14905545,MBD1,113,ENSG00000141644,4152,ENSG00000141644,Homo sapiens
Q14905557,MYD88,51,ENSG00000172936,4615,ENSG00000172936,Homo sapiens
Q14905564,UMOD,51,ENSG00000169344,7369,ENSG00000169344,Homo sapiens
Q14905567,TNFSF11,34,ENSG00000120659,8600,ENSG00000120659,Homo sapiens
Q14905573,TBXA2R,30,ENSG00000006638,6915,ENSG00000006638,Homo sapiens
Q14905580,FUCA1,30,ENSG00000179163,2517,ENSG00000179163,Homo sapiens
Q14905595,PHOX2B,23,ENSG00000109132,8929,ENSG00000109132,Homo sapiens
Q14905606,FOXC2,25,ENSG00000176692,2303,ENSG00000176692,Homo sapiens
Q14905618,NLRP3,48,ENSG00000162711,114548,ENSG00000162711,Homo sapiens
Q14905625,CALCR,34,ENSG00000004948,799,ENSG00000004948,Homo sapiens
Q14905630,CYP27A1,35,ENSG00000135929,1593,ENSG00000135929,Homo sapiens
Q14905632,KCNA1,28,ENSG00000111262,3736,ENSG00000111262,Homo sapiens
Q14905635,IDS,37,ENSG00000010404,3423,ENSG00000010404,Homo sapiens
Q14905639,DCD,25,ENSG00000161634,117159,ENSG00000161634,Homo sapiens
Q14905648,ELANE,33,ENSG00000197561,1991,ENSG00000197561,Homo sapiens
Q14905648,ELANE,33,ENSG00000277571,1991,ENSG00000197561,Homo sapiens
Q14905651,GP6,62,ENSG00000088053,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000274050,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000274566,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000275633,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000275931,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000276065,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000276211,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000277439,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000278316,51206,ENSG00000088053,Homo sapiens
Q14905651,GP6,62,ENSG00000278670,51206,ENSG00000088053,Homo sapiens
Q14905666,CYP11A1,48,ENSG00000140459,1583,ENSG00000140459,Homo sapiens
Q14905666,CYP11A1,48,ENSG00000288362,1583,ENSG00000140459,Homo sapiens
Q14905674,DCC,55,ENSG00000187323,1630,ENSG00000187323,Homo sapiens
Q14905690,EIF2AK2,39,ENSG00000055332,5610,ENSG00000055332,Homo sapiens
Q14905696,COL27A1,45,ENSG00000196739,85301,ENSG00000196739,Homo sapiens
Q14905704,AURKA,52,ENSG00000087586,6790,ENSG00000087586,Homo sapiens
Q14905707,SCN4A,31,ENSG00000007314,6329,ENSG00000007314,Homo sapiens
Q14905729,SCN5A,51,ENSG00000183873,6331,ENSG00000183873,Homo sapiens
Q14905744,CACNA1C,153,ENSG00000151067,775,ENSG00000151067,Homo sapiens
Q14905744,CACNA1C,153,ENSG00000285479,775,ENSG00000151067,Homo sapiens
Q14905759,KCNJ2,30,ENSG00000123700,3759,ENSG00000123700,Homo sapiens
Q14905770,KCNE1,40,ENSG00000180509,3753,ENSG00000180509,Homo sapiens
Q14905777,OCLN,40,ENSG00000197822,100506658,ENSG00000197822,Homo sapiens
Q14905777,OCLN,40,ENSG00000273814,100506658,ENSG00000197822,Homo sapiens
Q14906031,IL11,30,ENSG00000095752,3589,ENSG00000095752,Homo sapiens
Q14906040,BTK,37,ENSG00000010671,695,ENSG00000010671,Homo sapiens
Q14906072,PVR,31,ENSG00000073008,5817,ENSG00000073008,Homo sapiens
Q14906081,AMPH,44,ENSG00000078053,273,ENSG00000078053,Homo sapiens
Q14906101,MS4A1,38,ENSG00000156738,931,ENSG00000156738,Homo sapiens
Q14906111,DSP,32,ENSG00000096696,1832,ENSG00000096696,Homo sapiens
