item,itemLabel,statements,ensg_wdt,entrez,ensg_panglao,species
Q18312215,Zglp1,20,ENSMUSG00000079681,100009600,ENSMUSG00000079681,Mus musculus
Q18312216,Vmn2r65,10,,100009609,ENSMUSG00000066372,Mus musculus
Q18271139,Oog3,17,ENSMUSG00000050810,100012,ENSMUSG00000050810,Mus musculus
Q18312220,Notumos,7,,100015211,ENSMUSG00000053613,Mus musculus
Q18271142,Ldlrap1,23,ENSMUSG00000037295,100017,ENSMUSG00000037295,Mus musculus
Q18271143,Mdn1,33,ENSMUSG00000058006,100019,ENSMUSG00000058006,Mus musculus
Q18312222,Ifi208,22,ENSMUSG00000066677,100033459,ENSMUSG00000066677,Mus musculus
Q24327713,Wfdc17,10,,100034251,ENSMUSG00000069792,Mus musculus
Q18312225,Mfap1b,16,,100034361,ENSMUSG00000048222,Mus musculus
Q18312226,Tmsb15b2,10,,100034363,ENSMUSG00000089996,Mus musculus
Q18312229,Rpl15-ps3,9,,100034724,ENSMUSG00000061167,Mus musculus
Q18312231,Rps12-ps3,9,,100034727,ENSMUSG00000067038,Mus musculus
Q18313965,Vmn1r223,11,,100036518,ENSMUSG00000069280,Mus musculus
Q18313966,Gata5os,10,,100036520,ENSMUSG00000056061,Mus musculus
Q18313967,Umad1,23,ENSMUSG00000089862,100036521,ENSMUSG00000089862,Mus musculus
Q18313969,Gm9887,7,,100036526,ENSMUSG00000052673,Mus musculus
Q18313973,Gm9913,6,,100036535,ENSMUSG00000053615,Mus musculus
Q18314002,Dnajc3,22,ENSMUSG00000022136,100037258,ENSMUSG00000022136,Mus musculus
Q18314008,Rsph3b,23,ENSMUSG00000023806,100037282,ENSMUSG00000023806,Mus musculus
Q18314009,Rnaset2a,20,,100037283,ENSMUSG00000095687,Mus musculus
Q18314018,Fam174b,21,ENSMUSG00000078670,100038347,ENSMUSG00000078670,Mus musculus
Q18314022,Gm10532,10,,100038353,ENSMUSG00000097712,Mus musculus
Q18314024,Runx2os1,6,,100038355,ENSMUSG00000073394,Mus musculus
Q18314030,Gm10803,6,,100038360,ENSMUSG00000075024,Mus musculus
Q18314039,Zfp389,10,,100038371,ENSMUSG00000082396,Mus musculus
Q18314045,Gm10750,6,,100038377,ENSMUSG00000074739,Mus musculus
Q18314047,Gm10837,7,,100038380,ENSMUSG00000075465,Mus musculus
Q18314048,Gm10647,6,,100038381,ENSMUSG00000074232,Mus musculus
Q18314070,Faddos,6,,100038412,ENSMUSG00000073778,Mus musculus
Q18314072,Gm10735,7,,100038414,ENSMUSG00000074650,Mus musculus
Q18314073,Gm10643,6,,100038416,ENSMUSG00000074215,Mus musculus
Q18314074,Spink13,23,ENSMUSG00000073551,100038417,ENSMUSG00000073551,Mus musculus
Q18314079,Gm10604,7,,100038424,ENSMUSG00000073995,Mus musculus
Q18314080,Gm10563,6,,100038426,ENSMUSG00000073682,Mus musculus
Q18314085,9130213A22Rik,8,,100038433,ENSMUSG00000097386,Mus musculus
Q18314090,Gm10556,10,,100038439,ENSMUSG00000097043,Mus musculus
Q18314096,Gm10840,7,,100038448,ENSMUSG00000075480,Mus musculus
Q18314101,Platr8,16,ENSMUSG00000063751,100038454,ENSMUSG00000063751,Mus musculus
Q18314117,Gm10490,7,,100038473,ENSMUSG00000073290,Mus musculus
Q18314128,Apela,19,ENSMUSG00000079042,100038489,ENSMUSG00000079042,Mus musculus
Q18314135,Gm10447,6,,100038498,ENSMUSG00000072963,Mus musculus
Q18314153,Dnmt3aos,10,,100038522,ENSMUSG00000073242,Mus musculus
Q18314160,Gm10822,8,,100038532,ENSMUSG00000097377,Mus musculus
Q18314162,G530012D18Rik,7,,100038536,ENSMUSG00000094127,Mus musculus
Q18314163,Gm16503,6,,100038537,ENSMUSG00000078160,Mus musculus
Q18314172,Gm10521,6,,100038548,ENSMUSG00000073492,Mus musculus
Q18314184,B230104I21Rik,6,,100038561,ENSMUSG00000097871,Mus musculus
Q18314186,Gm10295,6,,100038563,ENSMUSG00000070511,Mus musculus
Q18314207,Gm10330,6,,100038586,ENSMUSG00000071362,Mus musculus
Q18314252,B230344G16Rik,9,,100038636,ENSMUSG00000097800,Mus musculus
Q18314253,Gm10134,6,,100038637,ENSMUSG00000063611,Mus musculus
Q18314254,Fmr1os,10,,100038638,ENSMUSG00000096946,Mus musculus
Q18314256,Gm10570,7,,100038640,ENSMUSG00000073752,Mus musculus
Q18314272,Mirt2,10,,100038659,ENSMUSG00000092920,Mus musculus
Q18314273,Gm10192,7,,100038661,ENSMUSG00000066990,Mus musculus
Q18314275,Gm10842,7,,100038664,ENSMUSG00000075485,Mus musculus
Q18314277,Macrod2os2,6,,100038667,ENSMUSG00000074763,Mus musculus
Q18314293,Gm10577,7,,100038687,ENSMUSG00000073789,Mus musculus
Q18314299,Tmem51os1,10,,100038693,ENSMUSG00000073728,Mus musculus
Q18314303,Gm10912,7,,100038697,ENSMUSG00000078091,Mus musculus
Q18314316,Gm10309,6,,100038711,ENSMUSG00000071036,Mus musculus
Q18314326,Sox5it,7,,100038723,ENSMUSG00000072677,Mus musculus
Q18314328,Cep85l,26,ENSMUSG00000038594,100038725,ENSMUSG00000038594,Mus musculus
Q18314354,Unc45bos,17,ENSMUSG00000086058,100038761,ENSMUSG00000086058,Mus musculus
Q18314355,Itpr3os,8,,100038804,ENSMUSG00000086898,Mus musculus
Q18314369,Trav9d-3,7,,100038850,ENSMUSG00000095495,Mus musculus
Q18314372,Olfr55,14,,100038859,ENSMUSG00000094891,Mus musculus
Q18314373,Olfr239,14,,100038860,ENSMUSG00000093884,Mus musculus
Q18314374,Btnl1,21,ENSMUSG00000062638,100038862,ENSMUSG00000062638,Mus musculus
Q18314375,Rps23-ps1,10,,100038875,ENSMUSG00000100755,Mus musculus
Q18314376,Isg15,19,ENSMUSG00000035692,100038882,ENSMUSG00000035692,Mus musculus
Q18314379,Ceacam-ps1,10,,100038912,ENSMUSG00000108307,Mus musculus
Q18314383,Vmn2r121,12,,100038941,ENSMUSG00000072049,Mus musculus
Q18314385,Mup9,13,,100038948,ENSMUSG00000078686,Mus musculus
Q18314396,Rps12-ps18,9,,100038969,ENSMUSG00000096135,Mus musculus
Q18314403,Rps12-ps17,9,,100038978,ENSMUSG00000095137,Mus musculus
Q18314420,Mup10,19,ENSMUSG00000078680,100039008,ENSMUSG00000078680,Mus musculus
Q18314424,Mup-ps12,47,,100039019,ENSMUSG00000073835,Mus musculus
Q18314429,Mup11,22,ENSMUSG00000073834,100039028,ENSMUSG00000073834,Mus musculus
Q18314434,Rps8-ps2,9,,100039036,ENSMUSG00000083481,Mus musculus
Q18314449,Mup12,18,ENSMUSG00000094793,100039054,ENSMUSG00000094793,Mus musculus
Q18314455,Mup-ps8,15,,100039063,ENSMUSG00000096891,Mus musculus
Q18314473,Mup13,11,,100039089,ENSMUSG00000089873,Mus musculus
Q18314485,Mup14,11,,100039116,ENSMUSG00000073830,Mus musculus
Q18314491,Vmn1r-ps2,9,,100039124,ENSMUSG00000081279,Mus musculus
Q18314499,Gm2061,10,,100039138,ENSMUSG00000097615,Mus musculus
Q18314500,Ccdc152,16,,100039139,ENSMUSG00000091119,Mus musculus
Q18314502,Vmn1r-ps3,9,,100039141,ENSMUSG00000083742,Mus musculus
Q18314509,Mup15,12,,100039150,ENSMUSG00000096674,Mus musculus
Q18314526,Gm10273,9,,100039174,ENSMUSG00000069622,Mus musculus
Q18314529,Mup16,13,,100039177,ENSMUSG00000078675,Mus musculus
Q18314539,Tmem254c,15,,100039192,ENSMUSG00000072680,Mus musculus
Q18314552,Mup17,18,ENSMUSG00000096688,100039206,ENSMUSG00000096688,Mus musculus
Q18314557,Cphx2,21,ENSMUSG00000098463,100039213,ENSMUSG00000098463,Mus musculus
Q18314566,Gm10322,7,,100039225,ENSMUSG00000071280,Mus musculus
Q18314568,Duxbl2,27,ENSMUSG00000072675,100039227,ENSMUSG00000072675,Mus musculus
Q18314582,Plac9b,20,ENSMUSG00000072674,100039246,ENSMUSG00000072674,Mus musculus
Q18314589,Hmgb1-ps1,9,,100039256,ENSMUSG00000084129,Mus musculus
Q18314590,Tmem254b,15,,100039257,ENSMUSG00000021867,Mus musculus
Q18314604,Rp31-ps19,9,,100039275,ENSMUSG00000097529,Mus musculus
Q18314609,Cphx3,21,ENSMUSG00000094817,100039280,ENSMUSG00000094817,Mus musculus
Q18314620,Duxbl3,27,ENSMUSG00000072672,100039293,ENSMUSG00000072672,Mus musculus
Q18314630,Mup-ps19,9,,100039305,ENSMUSG00000082644,Mus musculus
Q18314639,Gm9843,9,,100039316,ENSMUSG00000050299,Mus musculus
Q18314650,Gm2163,10,,100039331,ENSMUSG00000095779,Mus musculus
Q18314663,Gm2174,8,,100039346,ENSMUSG00000058932,Mus musculus
Q18314670,Rps16-ps2,10,,100039355,ENSMUSG00000060419,Mus musculus
Q18314685,Gapdh-ps14,9,,100039376,ENSMUSG00000098149,Mus musculus
Q18314732,Mageb16-ps1,11,,100039436,ENSMUSG00000082106,Mus musculus
Q18314762,Vmn2r-ps84,9,,100039471,ENSMUSG00000092532,Mus musculus
Q20969800,Vmn1r186,13,ENSMUSG00000096776,100039479,ENSMUSG00000096776,Mus musculus
Q18314774,Hmgn2-ps1,9,,100039489,ENSMUSG00000079067,Mus musculus
Q18314803,Rps11-ps4,9,,100039525,ENSMUSG00000046620,Mus musculus
Q18314817,Tbx3os1,16,,100039542,ENSMUSG00000087516,Mus musculus
Q18314826,Tgif2lx2,12,,100039551,ENSMUSG00000100194,Mus musculus
Q18314830,Gm2310,8,,100039560,ENSMUSG00000095663,Mus musculus
Q21821399,Gm20806,18,ENSMUSG00000094739,100039574,ENSMUSG00000094739,Mus musculus
Q18314855,Tcf24,20,ENSMUSG00000099032,100039596,ENSMUSG00000099032,Mus musculus
Q24338414,Gm20809,18,ENSMUSG00000093868,100039614,ENSMUSG00000093868,Mus musculus
Q18314881,Gm2348,8,,100039633,ENSMUSG00000078850,Mus musculus
Q18314890,Rpl28-ps3,9,,100039645,ENSMUSG00000079942,Mus musculus
Q18314910,Msmp,14,,100039672,ENSMUSG00000078719,Mus musculus
Q18314918,Zcwpw2,12,,100039681,ENSMUSG00000032443,Mus musculus
Q18314923,Lncenc1,12,,100039691,ENSMUSG00000078952,Mus musculus
Q18314925,Rpl19-ps1,9,,100039695,ENSMUSG00000064281,Mus musculus
Q18314935,Mthfsl,36,ENSMUSG00000079427,100039707,ENSMUSG00000079427,Mus musculus
Q18314969,Rps12-ps21,9,,100039751,ENSMUSG00000096362,Mus musculus
Q18314995,Hrct1,10,,100039781,ENSMUSG00000071001,Mus musculus
Q18315001,Trbv3,7,,100039790,ENSMUSG00000076463,Mus musculus
Q18315003,Ildr2,34,ENSMUSG00000040612,100039795,ENSMUSG00000040612,Mus musculus
Q18315004,Tgtp2,20,ENSMUSG00000078921,100039796,ENSMUSG00000078921,Mus musculus
Q18315008,Gm2431,9,,100039800,ENSMUSG00000090455,Mus musculus
Q18315009,Cldn24,12,,100039801,ENSMUSG00000061974,Mus musculus
Q20969156,Gm20816,18,ENSMUSG00000095634,100039810,ENSMUSG00000095634,Mus musculus
Q18315027,Rps12-ps6,9,,100039828,ENSMUSG00000096831,Mus musculus
Q18315048,Gm2464,15,ENSMUSG00000102215,100039861,ENSMUSG00000097338,Mus musculus
Q18315051,Snhg12,25,ENSMUSG00000086290,100039864,ENSMUSG00000086290,Mus musculus
Q18315066,Vmn1r-ps5,9,,100039885,ENSMUSG00000106974,Mus musculus
Q18315073,Vmn1r-ps6,9,,100039896,ENSMUSG00000107380,Mus musculus
Q18315088,Rhox2b,18,ENSMUSG00000079638,100039913,ENSMUSG00000079638,Mus musculus
Q18315096,Rps13-ps2,9,,100039924,ENSMUSG00000069972,Mus musculus
Q18315115,Rhox2c,20,ENSMUSG00000079637,100039948,ENSMUSG00000079637,Mus musculus
Q18315119,Gfy,20,ENSMUSG00000095276,100039953,ENSMUSG00000095276,Mus musculus
Q18315140,Gm2531,9,,100039978,ENSMUSG00000058567,Mus musculus
Q18315141,Rps18-ps1,9,,100039979,ENSMUSG00000083914,Mus musculus
Q18315170,Rhox2e,18,ENSMUSG00000096788,100040016,ENSMUSG00000096788,Mus musculus
Q18315173,Rpl9-ps7,9,,100040021,ENSMUSG00000047965,Mus musculus
Q18315182,Gm20823,17,ENSMUSG00000093950,100040031,ENSMUSG00000093950,Mus musculus
Q18315186,Gm2564,13,,100040035,ENSMUSG00000091938,Mus musculus
Q18315195,Ccl27b,23,ENSMUSG00000096826,100040048,ENSMUSG00000096826,Mus musculus
Q18315281,Rpl35a-ps5,9,,100040169,ENSMUSG00000093885,Mus musculus
Q18315300,Krtap19-9a,8,,100040191,ENSMUSG00000048643,Mus musculus
Q18315308,Gm10229,10,,100040201,ENSMUSG00000068075,Mus musculus
Q18315310,Scgb2a2,6,,100040203,ENSMUSG00000096872,Mus musculus
Q29784004,Scgb2a2,4,,105246619,ENSMUSG00000096872,Mus musculus
Q18315317,Rsf1os2,8,,100040211,ENSMUSG00000086993,Mus musculus
Q18315319,Gm10228,10,,100040214,ENSMUSG00000068074,Mus musculus
Q18315342,Krtap6-3,9,,100040249,ENSMUSG00000057855,Mus musculus
Q18315350,Mif-ps6,10,,100040259,ENSMUSG00000059658,Mus musculus
Q18315358,Olfr157,20,ENSMUSG00000111611,100040268,ENSMUSG00000111611,Mus musculus
Q18315360,Rapgef4os1,8,,100040270,ENSMUSG00000085439,Mus musculus
Q18315408,Rpl36a-ps2,9,,100040331,ENSMUSG00000105388,Mus musculus
Q18315463,Rpl30-ps6,9,,100040414,ENSMUSG00000101328,Mus musculus
Q18315465,Rpl13-ps6,12,,100040416,ENSMUSG00000059776,Mus musculus
Q18315488,Btbd35f19,17,ENSMUSG00000118465,100040448,ENSMUSG00000094352,Mus musculus
Q18315491,Ppp1r2-ps1,9,,100040453,ENSMUSG00000094843,Mus musculus
Q18315496,Btbd35f26,18,ENSMUSG00000118441,100040458,ENSMUSG00000095229,Mus musculus
Q18315497,Mndal,36,ENSMUSG00000090272,100040462,ENSMUSG00000090272,Mus musculus
Q18315502,Spin2f,12,,100040467,ENSMUSG00000095754,Mus musculus
Q18315513,Btbd35f2,11,,100040482,ENSMUSG00000096194,Mus musculus
Q18315538,Defa-ps14,9,,100040514,ENSMUSG00000082710,Mus musculus
Q18315541,Mrpl23-ps1,9,,100040519,ENSMUSG00000075279,Mus musculus
Q18315545,Tmem181c-ps,10,,100040525,ENSMUSG00000093880,Mus musculus
Q18315548,Defa-ps15,9,,100040528,ENSMUSG00000080894,Mus musculus
Q18315550,Dynlt1f,24,ENSMUSG00000095677,100040531,ENSMUSG00000095677,Mus musculus
Q18315552,Btbd35f5,17,ENSMUSG00000118409,100040533,ENSMUSG00000094727,Mus musculus
Q18315566,Gm10036,9,,100040551,ENSMUSG00000058064,Mus musculus
Q18315575,Dynlt1c,14,,100040563,ENSMUSG00000000579,Mus musculus
Q18315596,Kcnj13,13,,100040591,ENSMUSG00000079436,Mus musculus
Q18315606,Btbd35f12,11,,100040606,ENSMUSG00000101500,Mus musculus
Q18315608,Fancf,19,ENSMUSG00000092118,100040608,ENSMUSG00000092118,Mus musculus
Q18315612,Spin2-ps6,9,,100040612,ENSMUSG00000094115,Mus musculus
Q18315627,Rpsa-ps10,9,,100040633,ENSMUSG00000047676,Mus musculus
Q18315632,Vmn1r-ps128,9,,100040639,ENSMUSG00000084315,Mus musculus
Q18315645,Gm2885,9,,100040654,ENSMUSG00000097103,Mus musculus
Q18315657,Defa-ps16,9,,100040668,ENSMUSG00000082918,Mus musculus
Q18315666,Hspe1-ps1,9,,100040681,ENSMUSG00000113674,Mus musculus
Q18315676,Defa-ps17,9,,100040693,ENSMUSG00000095925,Mus musculus
Q18315691,Atp5l2-ps,10,,100040708,ENSMUSG00000084168,Mus musculus
Q18315702,Mirg,27,ENSMUSG00000097391,100040724,ENSMUSG00000097391,Mus musculus
Q18315707,Defa-ps10,9,,100040729,ENSMUSG00000096340,Mus musculus
Q18315709,Btbd35f14,11,,100040732,ENSMUSG00000078324,Mus musculus
Q18315713,Foxd2os,17,ENSMUSG00000085399,100040736,ENSMUSG00000085399,Mus musculus
Q18315716,Defa-ps11,9,,100040739,ENSMUSG00000084254,Mus musculus
Q18315719,Rpl17-ps3,9,,100040745,ENSMUSG00000113948,Mus musculus
Q18315737,Mroh2a,34,ENSMUSG00000079429,100040766,ENSMUSG00000079429,Mus musculus
Q18315747,Btbd35f6,18,ENSMUSG00000096915,100040781,ENSMUSG00000096915,Mus musculus
Q18315749,Gm20852,11,,100040786,ENSMUSG00000096666,Mus musculus
Q18315769,Amd-ps4,9,,100040814,ENSMUSG00000019836,Mus musculus
Q18315774,Gm1604a,30,,100040822,ENSMUSG00000094083,Mus musculus
Q18315775,Gm10269,9,,100040823,ENSMUSG00000091449,Mus musculus
Q18315787,Cyp4a32,24,ENSMUSG00000063929,100040843,ENSMUSG00000063929,Mus musculus
Q18315792,Gm9767,10,,100040851,ENSMUSG00000039098,Mus musculus
Q18315818,Vma21-ps,9,,100040883,ENSMUSG00000061619,Mus musculus
Q18315837,Gm20854,11,,100040911,ENSMUSG00000095650,Mus musculus
Q18315838,Gm10518,7,,100040914,ENSMUSG00000073486,Mus musculus
Q18315855,Cldn34b1,20,ENSMUSG00000072100,100040937,ENSMUSG00000072100,Mus musculus
