id,match,name,score,type,type_id,input_value
Q66505125,True,immune system,50.0,[],,Immune system
Q11498334,True,Zygote,50.0,[],,Zygote
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q7873,True,blood,50.0,[],,Blood
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q7886,True,lung,50.0,[],,Lungs
Q9355635,True,Thyroid,50.0,[],,Thyroid
Q41301,True,epithelium,50.0,[],,Epithelium
Q189961,True,mammary gland,50.0,[],,Mammary gland
Q1212935,True,placenta,100.0,organ,Q712378,Placenta
Q65426278,True,Olfactory system,50.0,[],,Olfactory system
Q66502822,True,olfactory system,50.0,[],,Olfactory system
Q66560269,True,placenta,50.0,[],,Placenta
Q1059,True,immune system,100.0,organ system,Q188193,Immune system
Q170145,True,zygote,100.0,cell type,Q189118,Zygote
Q66569968,True,zygote,100.0,cell type,Q189118,Zygote
Q265868,True,bone,100.0,anatomical structure,Q4936952,Bone
Q9377,True,kidney,100.0,anatomical structure,Q4936952,Kidney
Q66566650,True,vasculature,100.0,anatomical structure,Q4936952,Vasculature
Q1072,True,heart,100.0,anatomical structure,Q4936952,Heart
Q9368,True,liver,100.0,anatomical structure,Q4936952,Liver
Q11829360,True,gastrointestinal tract,100.0,anatomical structure,Q4936952,GI tract
Q1074,True,skin,100.0,anatomical structure,Q4936952,Skin
Q7364,True,eye,100.0,anatomical structure,Q4936952,Eye
Q163987,True,thymus,100.0,anatomical structure,Q4936952,Thymus
Q9382,True,urinary bladder,100.0,anatomical structure,Q4936952,Urinary bladder
Q16399,True,thyroid gland,100.0,anatomical structure,Q4936952,Thyroid
Q1054094,True,olfactory system,100.0,organ system,Q188193,Olfactory system
Q712294,True,adrenal gland,100.0,anatomical structure,Q4936952,Adrenal glands
