id,match,name,score,type,type_id,input_value
Q66505125,True,immune system,50.0,[],,Immune system
Q11498334,True,Zygote,50.0,[],,Zygote
Q6140833,True,Kidney,50.0,[],,Kidney
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q66505125,True,immune system,50.0,[],,Immune system
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q66505125,True,immune system,50.0,[],,Immune system
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q6140977,True,Liver,50.0,[],,Liver
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q66505125,True,immune system,50.0,[],,Immune system
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q66505125,True,immune system,50.0,[],,Immune system
Q6140977,True,Liver,50.0,[],,Liver
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q6140833,True,Kidney,50.0,[],,Kidney
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q66505125,True,immune system,50.0,[],,Immune system
Q6140833,True,Kidney,50.0,[],,Kidney
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q67208213,True,Thymus,50.0,[],,Thymus
Q9355635,True,Thyroid,50.0,[],,Thyroid
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q6140977,True,Liver,50.0,[],,Liver
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q41301,True,epithelium,50.0,[],,Epithelium
Q6140977,True,Liver,50.0,[],,Liver
Q6140833,True,Kidney,50.0,[],,Kidney
Q96377210,True,Embryo,50.0,[],,Embryo
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q66505125,True,immune system,50.0,[],,Immune system
Q66505125,True,immune system,50.0,[],,Immune system
Q96377210,True,Embryo,50.0,[],,Embryo
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q6140977,True,Liver,50.0,[],,Liver
Q41301,True,epithelium,50.0,[],,Epithelium
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q6140977,True,Liver,50.0,[],,Liver
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q41301,True,epithelium,50.0,[],,Epithelium
Q6140833,True,Kidney,50.0,[],,Kidney
Q189961,True,mammary gland,50.0,[],,Mammary gland
Q6140833,True,Kidney,50.0,[],,Kidney
Q66505125,True,immune system,50.0,[],,Immune system
Q41301,True,epithelium,50.0,[],,Epithelium
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q1212935,True,placenta,100.0,organ,Q712378,Placenta
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q189961,True,mammary gland,50.0,[],,Mammary gland
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q96377210,True,Embryo,50.0,[],,Embryo
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q66505125,True,immune system,50.0,[],,Immune system
Q6140833,True,Kidney,50.0,[],,Kidney
Q66505125,True,immune system,50.0,[],,Immune system
Q65426278,True,Olfactory system,50.0,[],,Olfactory system
Q66502822,True,olfactory system,50.0,[],,Olfactory system
Q6140977,True,Liver,50.0,[],,Liver
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q66505125,True,immune system,50.0,[],,Immune system
Q66505125,True,immune system,50.0,[],,Immune system
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q96377210,True,Embryo,50.0,[],,Embryo
Q66505125,True,immune system,50.0,[],,Immune system
Q11498334,True,Zygote,50.0,[],,Zygote
Q6140833,True,Kidney,50.0,[],,Kidney
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q66505125,True,immune system,50.0,[],,Immune system
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q66505125,True,immune system,50.0,[],,Immune system
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q6140977,True,Liver,50.0,[],,Liver
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q66505125,True,immune system,50.0,[],,Immune system
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q66505125,True,immune system,50.0,[],,Immune system
Q6140977,True,Liver,50.0,[],,Liver
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q6140833,True,Kidney,50.0,[],,Kidney
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q66505125,True,immune system,50.0,[],,Immune system
Q6140833,True,Kidney,50.0,[],,Kidney
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q67208213,True,Thymus,50.0,[],,Thymus
Q9355635,True,Thyroid,50.0,[],,Thyroid
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q6140977,True,Liver,50.0,[],,Liver
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q41301,True,epithelium,50.0,[],,Epithelium
Q6140977,True,Liver,50.0,[],,Liver
Q6140833,True,Kidney,50.0,[],,Kidney
Q96377210,True,Embryo,50.0,[],,Embryo
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q66505125,True,immune system,50.0,[],,Immune system
Q66505125,True,immune system,50.0,[],,Immune system
Q96377210,True,Embryo,50.0,[],,Embryo
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q6140977,True,Liver,50.0,[],,Liver
Q41301,True,epithelium,50.0,[],,Epithelium
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q6140977,True,Liver,50.0,[],,Liver
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q1155702,True,skin,50.0,[],,Skin
Q7535317,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q41301,True,epithelium,50.0,[],,Epithelium
Q6140833,True,Kidney,50.0,[],,Kidney
Q189961,True,mammary gland,50.0,[],,Mammary gland
