Len,Aen,Den,P31,P279,P703,P361,Aen
Proximal tubule cell,Proximal tubule cells,cell type,Q189118,,,Q2916078,
Human myeloid-derived suppressor cell,Human myeloid-derived suppressor cells,cell type,Q189118,Q15220362,Q15978631,,
Mouse myeloid-derived suppressor cell,Mouse myeloid-derived suppressor cells,cell type,Q189118,Q15220362,Q83310,,
Myeloid dendritic cell,Myeloid dendritic cells,cell type,Q189118,Q506253,,,
Plasmacytoid dendritic cell,Plasmacytoid dendritic cells,cell type,Q189118,Q506253,,,
Osteoclasts and osteoblast,Osteoclasts and osteoblasts,cell type,Q189118,,,Q265868,
Glutaminergic neuron,Glutaminergic neurons,cell type,Q189118,Q43054,,,
Meningeal cell,Meningeal cells,cell type,Q189118,,,Q268930,
Erythroid-like and erythroid precursor cell,Erythroid-like and erythroid precursor cells,cell type,Q189118,,,,
Crypt base columnar cell,Crypt base columnar cells,cell type,Q189118,,,Q9639,CBC
Urothelial cell,Urothelial cells,cell type,Q189118,,,,
Basal cell of the skin,Basal cells of the skin,cell type,Q189118,Q66558828,,Q1074,
Bergmann glia cell,Bergmann glia cells,cell type,Q189118,Q502961,,Q130983,
Oval cell,Oval cells,cell type,Q189118,,,Q9368,Hepatic oval cell
Loop of Henle cell,Loop of Henle cells,cell type,Q189118,,,Q1813955,
Principal cell,Principal cells,cell type,Q189118,,,Q452419,Principal cell of the collecting duct
Kidney progenitor cell,Kidney progenitor cells,cell type,Q189118,,,Q9377,
Adipocyte progenitor cell,Adipocyte progenitor cells,cell type,Q189118,,,Q193583,APC
Osteoclast precursor cell,Osteoclast precursor cells,cell type,Q189118,,,Q265868,
Endothelial cell (blood brain barrier),Endothelial cells (blood brain barrier),cell type,Q189118,Q11394395,,Q221694,
Mononuclear myocyte,Mononuclear myocytes,cell type,Q189118,Q428914,,,
Vascular smooth muscle cell,Vascular smooth muscle cells,cell type,Q189118,Q66508979,,Q7916469,
Airway smooth muscle cell,Airway smooth muscle cells,cell type,Q189118,Q66508979,,Q13400765,
Pulmonary vascular smooth muscle cell,Pulmonary vascular smooth muscle cells,cell type,Q189118,Q66508979,,Q7886,Pulmonary arterial smooth muscle cell 
Purkinje fiber cell,Purkinje fiber cells,cell type,Q189118,,,Q2014587,
Bone marrow stromal cell,Bone marrow stromal cells,cell type,Q189118,,,Q546523,BMSCs
Hepatoblast,Hepatoblasts,cell type,Q189118,,,Q9368,
Mammary epithelial cell,Mammary epithelial cells,cell type,Q189118,Q15176415,,Q189961,
Endothelial cells (brain),Endothelial cells (brain),cell type,Q189118,Q11394395,,Q1073,
Retinal progenitor cell,Retinal progenitor cells,cell type,Q189118,,,,
Peri-islet Schwann cell,Peri-islet Schwann cells,cell type,Q189118,Q465621,,,pSC
Trigeminal neuron,Trigeminal neurons,cell type,Q189118,Q43054,,Q189763,
Endothelial cell (lungs),Endothelial cells (lungs),cell type,Q189118,Q11394395,,Q7886,
Fibroblast (lungs),Fibroblasts (lungs),cell type,Q189118,Q463418,,Q7886,
Airway goblet cell,Airway goblet cells,cell type,Q189118,Q813622,,Q13400765,
Fibroblast (pancreas),Fibroblasts (pancreas),cell type,Q189118,Q463418,,Q9618,
Endothelial cell (mammary),Endothelial cells (mammary),cell type,Q189118,Q11394395,,Q189961,
Immature neuronal cell,Immature neuronal cells,cell type,Q189118,Q43054,,,
Fibroblast (Uterus),Fibroblasts (Uterus),cell type,Q189118,Q463418,,Q9612,
Endothelial cell (heart),Endothelial cells (heart),cell type,Q189118,Q11394395,,Q1072,
Luminal epithelial cell,Luminal epithelial cells,cell type,Q189118,,,Q189961,
Endothelial cell (aorta),Endothelial cells (aorta),cell type,Q189118,Q11394395,,Q101004,
Enteric neuron,Enteric neurons,cell type,Q189118,Q43054,,Q9639,
Red pulp macrophage,Red pulp macrophages,cell type,Q189118,Q184204,,Q1093858,
Fibroblast (spinal cord),Fibroblasts (spinal cord),cell type,Q189118,Q463418,,Q9606,
Fibroblast (brain),Fibroblasts (brain),cell type,Q189118,Q463418,,Q1073,
Fibroblast (bone),Fibroblasts (bone),cell type,Q189118,Q463418,,Q265868,
Fibroblast (kidney),Fibroblasts (kidney),cell type,Q189118,Q463418,,Q9377,
Small luteal cell,Small luteal cells,cell type,Q189118,Q70204009,,Q749637,
Fibroblast (lymph nodes),Fibroblasts (lymph nodes),cell type,Q189118,Q463418,,Q170758,
Fibroblast (colon),Fibroblasts (colon),cell type,Q189118,Q463418,,Q5982337,
Salivary mucous cell,Salivary mucous cells,cell type,Q189118,,,Q134938,mucous cell of the salivary gland
Ionocyte,Ionocytes,cell type,Q189118,Q15176415,,Q11788629,
Ciliated cell,Ciliated cells,cell type,Q189118,,,,
Enteric glia cell,Enteric glia cells,cell type,Q189118,Q177105,,Q9639,
Crypt cell,Crypt cells,cell type,Q189118,,,Q9639,
Airway epithelial cell,Airway epithelial cells,cell type,Q189118,Q15176415,,Q13400765,
Noradrenergic neuron,Noradrenergic neurons,cell type,Q189118,Q43054,,,
Glycinergic neuron,Glycinergic neurons,cell type,Q189118,Q43054,,,
Sebocyte,Sebocytes,cell type,Q189118,,,Q212328,
Trophoblast stem cell,Trophoblast stem cells,cell type,Q189118,,,,
Trophoblast progenitor cell,Trophoblast progenitor cells,cell type,Q189118,,,,
