Unnamed: 0,Len,Aen,Den,Dpt,P361,P703,P31
0,human basal cell,human basal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062513,Q15978631,Q18911
1,human trigeminal neuron,human trigeminal neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062590,Q15978631,Q18911
2,human juxtaglomerular cell,human juxtaglomerular cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2596226,Q15978631,Q18911
3,human pancreatic stellate cell,human pancreatic stellate cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1164962,Q15978631,Q18911
4,human fibroblast,human fibroblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q463418,Q15978631,Q18911
5,human motor neuron,human motor neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1133903,Q15978631,Q18911
6,human mammary epithelial cell,human mammary epithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062572,Q15978631,Q18911
7,human parietal cell,human parietal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1640093,Q15978631,Q18911
8,human peri-islet schwann cell,human peri-islet schwann cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062584,Q15978631,Q18911
9,human chromaffin cell,human chromaffin cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q919689,Q15978631,Q18911
10,human dendritic cell,human dendritic cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q506253,Q15978631,Q18911
11,human tuft cell,human tuft cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q25325383,Q15978631,Q18911
12,human trophoblast progenitor cell,human trophoblast progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062703,Q15978631,Q18911
13,human megakaryocyte,human megakaryocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q821701,Q15978631,Q18911
14,human t follicular helper cell,human t follicular helper cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5464650,Q15978631,Q18911
15,human t helper cell,human t helper cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q632518,Q15978631,Q18911
16,human epiblast cell,human epiblast cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003525,Q15978631,Q18911
17,human photoreceptor cell,human photoreceptor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q748049,Q15978631,Q18911
18,human decidual cell,human decidual cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5249153,Q15978631,Q18911
19,human platelet,human platelets,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101026,Q15978631,Q18911
20,human urothelial cell,human urothelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062509,Q15978631,Q18911
21,human transient cell,human transient cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,EXCLUDE,Q15978631,Q18911
22,human proximal tubule cell,human proximal tubule cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062469,Q15978631,Q18911
23,human luminal epithelial cell,human luminal epithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062619,Q15978631,Q18911
24,human purkinje fiber cell,human purkinje fiber cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062559,Q15978631,Q18911
25,human microglia,human microglia,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1622829,Q15978631,Q18911
26,human delta cell,human delta cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2621407,Q15978631,Q18911
27,human pinealocyte,human pinealocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3241787,Q15978631,Q18911
28,human his bundle cell,human his bundle cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003168,Q15978631,Q18911
29,human schwann cell,human schwann cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q465621,Q15978631,Q18911
30,human melanocyte,human melanocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q247101,Q15978631,Q18911
31,human natural killer t cell,human natural killer t cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q224930,Q15978631,Q18911
32,human choroid plexus cell,human choroid plexus cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q98603523,Q15978631,Q18911
33,human radial glia cell,human radial glia cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q4387286,Q15978631,Q18911
34,human oligodendrocyte,human oligodendrocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q916698,Q15978631,Q18911
35,human nk cell,human nk cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q332181,Q15978631,Q18911
36,human smooth muscle cell,human smooth muscle cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66508979,Q15978631,Q18911
37,human spermatocyte,human spermatocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3486515,Q15978631,Q18911
38,human myocyte,human myocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q428914,Q15978631,Q18911
39,human osteocyte,human osteocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q913236,Q15978631,Q18911
40,human serotonergic neuron,human serotonergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q70220966,Q15978631,Q18911
41,human enteric neuron,human enteric neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062626,Q15978631,Q18911
42,human endothelial cell,human endothelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q11394395,Q15978631,Q18911
43,human sertoli cell,human sertoli cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q195614,Q15978631,Q18911
44,human hepatoblast,human hepatoblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062568,Q15978631,Q18911
45,human principal cell,human principal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062526,Q15978631,Q18911
46,human retinal progenitor cell,human retinal progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062580,Q15978631,Q18911
