Unnamed: 0,Len,Aen,Den,Dpt,P703,P31,P279
0,mouse basal cell,mouse basal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062513
1,mouse trigeminal neuron,mouse trigeminal neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062590
2,mouse juxtaglomerular cell,mouse juxtaglomerular cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2596226
3,mouse pancreatic stellate cell,mouse pancreatic stellate cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1164962
4,mouse fibroblast,mouse fibroblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q463418
5,mouse motor neuron,mouse motor neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1133903
6,mouse mammary epithelial cell,mouse mammary epithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062572
7,mouse parietal cell,mouse parietal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1640093
8,mouse peri-islet schwann cell,mouse peri-islet schwann cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062584
9,mouse chromaffin cell,mouse chromaffin cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q919689
10,mouse dendritic cell,mouse dendritic cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q506253
11,mouse tuft cell,mouse tuft cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q25325383
12,mouse trophoblast progenitor cell,mouse trophoblast progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062703
13,mouse megakaryocyte,mouse megakaryocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q821701
14,mouse t follicular helper cell,mouse t follicular helper cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5464650
15,mouse t helper cell,mouse t helper cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q632518
16,mouse epiblast cell,mouse epiblast cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003525
17,mouse photoreceptor cell,mouse photoreceptor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q748049
18,mouse decidual cell,mouse decidual cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5249153
19,mouse platelet,mouse platelets,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101026
20,mouse urothelial cell,mouse urothelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062509
21,mouse transient cell,mouse transient cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,EXCLUDE
22,mouse proximal tubule cell,mouse proximal tubule cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062469
23,mouse luminal epithelial cell,mouse luminal epithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062619
24,mouse purkinje fiber cell,mouse purkinje fiber cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062559
25,mouse microglia,mouse microglia,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1622829
26,mouse delta cell,mouse delta cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2621407
27,mouse pinealocyte,mouse pinealocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3241787
28,mouse his bundle cell,mouse his bundle cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003168
29,mouse schwann cell,mouse schwann cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q465621
30,mouse melanocyte,mouse melanocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q247101
31,mouse natural killer t cell,mouse natural killer t cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q224930
32,mouse choroid plexus cell,mouse choroid plexus cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q98603523
33,mouse radial glia cell,mouse radial glia cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q4387286
34,mouse oligodendrocyte,mouse oligodendrocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q916698
35,mouse nk cell,mouse nk cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q332181
36,mouse smooth muscle cell,mouse smooth muscle cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66508979
37,mouse spermatocyte,mouse spermatocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3486515
38,mouse myocyte,mouse myocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q428914
39,mouse osteocyte,mouse osteocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q913236
40,mouse serotonergic neuron,mouse serotonergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q70220966
41,mouse enteric neuron,mouse enteric neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062626
42,mouse endothelial cell,mouse endothelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q11394395
43,mouse sertoli cell,mouse sertoli cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q195614
44,mouse hepatoblast,mouse hepatoblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062568
45,mouse principal cell,mouse principal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062526
46,mouse retinal progenitor cell,mouse retinal progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062580
47,mouse purkinje neuron,mouse purkinje neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1570272
48,mouse alpha cell,mouse alpha cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2995031
49,mouse intercalated cell,mouse intercalated cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66592471
50,mouse gastric chief cell,mouse gastric chief cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2595765
51,mouse oligodendrocyte progenitor cell,mouse oligodendrocyte progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q7086819
52,mouse glutaminergic neuron,mouse glutaminergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062495
53,mouse bergmann glia,mouse bergmann glia,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062516
54,mouse granulosa cell,mouse granulosa cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q70203021
55,mouse epsilon cell,mouse epsilon cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q4532277
56,mouse mast cell,mouse mast cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q191989
57,mouse myoepithelial cell,mouse myoepithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1476681
58,mouse oxyphil cell,mouse oxyphil cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q7116107
59,mouse endothelial cell (aorta),mouse endothelial cells (aorta),cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062623
60,mouse salivary mucous cell,mouse salivary mucous cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062659
61,mouse trophoblast cell,mouse trophoblast cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66589800
62,mouse osteoclast,mouse osteoclasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q828410
63,mouse pyramidal cell,mouse pyramidal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2116409
64,mouse germ cell,mouse germ cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q281579
65,mouse merkel cell,mouse merkel cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1570264
66,mouse noradrenergic neuron,mouse noradrenergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062687
67,mouse microfold cell,mouse microfold cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1815955
68,mouse enteroendocrine cell,mouse enteroendocrine cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5380231
69,mouse red pulp macrophages,mouse red pulp macrophages,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062629
70,mouse vascular smooth muscle cell,mouse vascular smooth muscle cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062544
71,mouse gabaergic neuron,mouse gabaergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66591221
72,mouse myoblast,mouse myoblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1956694
73,mouse stromal cell,mouse stromal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q4381253
74,mouse adipocyte progenitor cell,mouse adipocyte progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062531
75,mouse myeloid-derived suppressor cell,mouse myeloid-derived suppressor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q15220362
76,mouse hemangioblast,mouse hemangioblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1642030
77,mouse hepatic stellate cell,mouse hepatic stellate cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1997459
78,mouse ionocyte,mouse ionocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062667
79,mouse epithelial cell,mouse epithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q15176415
80,mouse myofibroblast,mouse myofibroblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1467330
81,mouse pulmonary alveolar type ii cell,mouse pulmonary alveolar type ii cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3272858
82,mouse satellite glial cell,mouse satellite glial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q63710
83,mouse satellite cell,mouse satellite cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101001061
84,mouse luteal cell,mouse luteal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q70204009
85,mouse ductal cell,mouse ductal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5311600
86,mouse pulmonary vascular smooth muscle cell,mouse pulmonary vascular smooth muscle cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062553
87,mouse erythroid-like and erythroid precursor cell,mouse erythroid-like and erythroid precursor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062502
88,mouse adrenergic neuron,mouse adrenergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q71262051
89,mouse neuroblast,mouse neuroblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2927095
90,mouse anterior pituitary gland cell,mouse anterior pituitary gland cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003254
91,mouse plasmacytoid dendritic cell,mouse plasmacytoid dendritic cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062485
92,mouse nuocyte,mouse nuocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q7069936
93,mouse thymocyte,mouse thymocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q7799635
94,mouse paneth cell,mouse paneth cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2004084
95,mouse interneuron,mouse interneurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1500732
96,mouse monocyte,mouse monocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q107244
97,mouse podocyte,mouse podocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q138912
98,mouse neural stem/precursor cell,mouse neural stem/precursor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2944097
99,mouse cholangiocyte,mouse cholangiocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5104283
100,mouse crypt cell,mouse crypt cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062678
101,mouse osteoblast,mouse osteoblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q917177
102,mouse pericyte,mouse pericytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q500446
103,mouse erythroblast,mouse erythroblasts,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66590166
104,mouse olfactory epithelial cell,mouse olfactory epithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66563539
105,mouse eosinophil,mouse eosinophils,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q107238
106,mouse keratinocyte,mouse keratinocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1473931
