cell_type,cell_typeLabel
http://www.wikidata.org/entity/Q101405084,human t regulatory cell
http://www.wikidata.org/entity/Q101405085,human b cell naive
http://www.wikidata.org/entity/Q101405086,human b cell
http://www.wikidata.org/entity/Q101405087,human beta cell
http://www.wikidata.org/entity/Q101405088,human distal tubule cell
http://www.wikidata.org/entity/Q101405089,human basophil
http://www.wikidata.org/entity/Q101405090,human airway goblet cell
http://www.wikidata.org/entity/Q101405091,human cajal-retzius cell
http://www.wikidata.org/entity/Q101405092,human chondrocyte
http://www.wikidata.org/entity/Q101405093,human gamma delta t cell
http://www.wikidata.org/entity/Q101405094,human trichocyte
http://www.wikidata.org/entity/Q101405095,human glycinergic neuron
http://www.wikidata.org/entity/Q101405096,human müller cell
http://www.wikidata.org/entity/Q101405097,human müller cell
http://www.wikidata.org/entity/Q101405098,human dopaminergic neuron
http://www.wikidata.org/entity/Q101405100,human mesothelial cell
http://www.wikidata.org/entity/Q101405101,human hepatocyte
http://www.wikidata.org/entity/Q101405102,human neutrophil
http://www.wikidata.org/entity/Q101405103,human astrocyte
http://www.wikidata.org/entity/Q101405104,human neuron
http://www.wikidata.org/entity/Q101405105,human trophoblast stem cell
http://www.wikidata.org/entity/Q101405106,human parathyroid chief cell
http://www.wikidata.org/entity/Q101405107,human acinar cell
http://www.wikidata.org/entity/Q101405108,human clara cell
http://www.wikidata.org/entity/Q101405109,human loop of henle cell
http://www.wikidata.org/entity/Q101405110,human follicular cell
http://www.wikidata.org/entity/Q101405111,human airway smooth muscle cell
http://www.wikidata.org/entity/Q101405112,human embryonic stem cell
http://www.wikidata.org/entity/Q101405113,human t cytotoxic cell
http://www.wikidata.org/entity/Q101405114,human t cell naive
http://www.wikidata.org/entity/Q101405115,human glomus cell
http://www.wikidata.org/entity/Q101405116,human leydig cell
http://www.wikidata.org/entity/Q101405117,human retinal ganglion cell
http://www.wikidata.org/entity/Q101405119,human enteric glia cell
http://www.wikidata.org/entity/Q101405120,human kidney progenitor cell
http://www.wikidata.org/entity/Q101405121,human mesangial cell
http://www.wikidata.org/entity/Q101405122,human reticulocyte
http://www.wikidata.org/entity/Q101405123,human plasma cell
http://www.wikidata.org/entity/Q101405125,human enterochromaffin cell
http://www.wikidata.org/entity/Q101405126,human astrocyte progenitor cell
http://www.wikidata.org/entity/Q101405206,human neuroendocrine cell
http://www.wikidata.org/entity/Q101405207,human spermatocyte and spermatozoa
http://www.wikidata.org/entity/Q101405208,human multinuclear myocyte
http://www.wikidata.org/entity/Q101405209,human peripheral blood mononuclear cell
http://www.wikidata.org/entity/Q101405210,human theca cell
http://www.wikidata.org/entity/Q101405212,human granulocyte
http://www.wikidata.org/entity/Q101405213,human retinal epithelial cell
http://www.wikidata.org/entity/Q101405214,human cortical interneuron
http://www.wikidata.org/entity/Q101423166,human cytotoxic t cell
http://www.wikidata.org/entity/Q101423298,human helper T cell
http://www.wikidata.org/entity/Q67801129,human astrocyte
http://www.wikidata.org/entity/Q71299560,human cerebral cortex GABAergic interneuron
http://www.wikidata.org/entity/Q71306995,Human MTG Oligodendrocyte precursor cell
http://www.wikidata.org/entity/Q71306999,Human MTG Astrocyte of the cerebral cortex
http://www.wikidata.org/entity/Q71307001,Human MTG Oligodendrocyte
http://www.wikidata.org/entity/Q71307004,Human cerebral cortex MTG endothelial cell
http://www.wikidata.org/entity/Q71307005,Human MTG Microglial cell
http://www.wikidata.org/entity/Q71307007,Human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71307011,Human MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309270,PCDH15-expressing human MTG Oligodendrocyte precursor cell
http://www.wikidata.org/entity/Q71309274,ENPP2-expressing human MTG Oligodendrocyte
http://www.wikidata.org/entity/Q71309275,EMCN-expressing human cerebral cortex MTG endothelial cell
http://www.wikidata.org/entity/Q71309281,CSF1R-expressing human MTG Microglial cell
http://www.wikidata.org/entity/Q71309282,SLC17A7-expressing human MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309845,PXDN-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309847,LOC105376457-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309850,IL26-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309853,CUX2-expressing human MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309855,RORB-expressing human MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309858,OLFML2B-expressing human MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71309861,EGFEM1P-expressing human MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311215,CBLN2-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311217,PENK-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311220,PALMD-expressing human cerebral cortex MTG Glutamatergic neuron
