cell_type;gene
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q21163342
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q18032056
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q18031823
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q17859961
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q17709258
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q14908182
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q14907645
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q14864879
http://www.wikidata.org/entity/Q101404949;http://www.wikidata.org/entity/Q14864844
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q5145895
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q5013317
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q21163357
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18062569
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18059852
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18053422
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18052616
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18050621
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18049877
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18046467
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18046430
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18042663
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18041361
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18039526
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18036184
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18036148
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18035868
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18035614
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18034900
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18033773
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18031671
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18031352
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18030900
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18030335
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18030209
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18030163
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18029779
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18028427
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q18027029
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17930706
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17927081
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17917387
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17908996
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17848358
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17832212
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q17828822
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q15319726
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14916393
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14912099
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14911006
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14907896
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14905625
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14903397
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14897645
http://www.wikidata.org/entity/Q101404922;http://www.wikidata.org/entity/Q14877295
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q5446458
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q407983
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q18047332
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q18040221
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q18036663
