,Unnamed: 0,panglao,wikidata,item,superclass,itemLabel
0,18,Decidual cells,Q5249153,Q101404881,Q5249153,human decidual cell
1,36,Smooth muscle cells,Q66508979,Q101404901,Q66508979,human smooth muscle cell
2,55,Epsilon cells,Q4532277,Q101404922,Q4532277,human epsilon cell
3,72,Myoblasts,Q1956694,Q101404940,Q1956694,human myoblast
4,73,Stromal cells,Q4381253,Q101404941,Q4381253,human stromal cell
5,80,Myofibroblasts,Q1467330,Q101404949,Q1467330,human myofibroblast
6,134,Ependymal cells,Q28646122,Q101405078,Q28646122,human ependymal cell
7,151,Müller cells,Q735343,Q101405096,Q735343,human müller cell
8,152,Dopaminergic neurons,Q5297290,Q101405098,Q5297290,human dopaminergic neuron
9,177,Neuroendocrine cells,Q10599959,Q101405206,Q10599959,human neuroendocrine cell
