,Unnamed: 0,panglao,wikidata,superclass,itemLabel,item
0,0,Basal cells,Q101062513,Q101062513,human basal cell,Q101404853
1,1,Trigeminal neurons,Q101062590,Q101062590,human trigeminal neuron,Q101404857
2,2,Juxtaglomerular cells,Q2596226,Q2596226,human juxtaglomerular cell,Q101404858
3,3,Pancreatic stellate cells,Q1164962,Q1164962,human pancreatic stellate cell,Q101404859
4,4,Fibroblasts,Q463418,Q463418,human fibroblast,Q101404861
5,5,Motor neurons,Q1133903,Q1133903,human motor neuron,Q101404862
6,6,Mammary epithelial cells,Q101062572,Q101062572,human mammary epithelial cell,Q101404863
7,8,Peri-islet Schwann cells,Q101062584,Q101062584,human peri-islet schwann cell,Q101404867
8,9,Chromaffin cells,Q919689,Q919689,human chromaffin cell,Q101404868
9,10,Dendritic cells,Q506253,Q506253,human dendritic cell,Q101404869
10,11,Tuft cells,Q25325383,Q25325383,human tuft cell,Q101404870
11,12,Trophoblast progenitor cells,Q101062703,Q101062703,human trophoblast progenitor cell,Q101404873
12,13,Megakaryocytes,Q821701,Q821701,human megakaryocyte,Q101404874
13,14,T follicular helper cells,Q5464650,Q5464650,human follicular cell,Q101405110
14,14,T follicular helper cells,Q5464650,Q5464650,human t follicular helper cell,Q101404875
15,163,Follicular cells,Q5464650,Q5464650,human follicular cell,Q101405110
16,163,Follicular cells,Q5464650,Q5464650,human t follicular helper cell,Q101404875
17,15,T helper cells,Q632518,Q632518,human helper T cell,Q101423298
18,15,T helper cells,Q632518,Q632518,human t helper cell,Q101404876
19,16,Epiblast cells,Q101003525,Q101003525,human epiblast cell,Q101404877
20,17,Photoreceptor cells,Q748049,Q748049,human photoreceptor cell,Q101404878
21,17,Photoreceptor cells,Q748049,Q748049,human photoreceptor cell,Q101404879
22,18,Decidual cells,Q5249153,Q5249153,human decidual cell,Q101404881
23,19,Platelets,Q101026,Q101026,human platelet,Q101404882
24,20,Urothelial cells,Q101062509,Q101062509,human urothelial cell,Q101404883
25,22,Proximal tubule cells,Q101062469,Q101062469,human proximal tubule cell,Q101404885
26,23,Luminal epithelial cells,Q101062619,Q101062619,human luminal epithelial cell,Q101404886
27,24,Purkinje fiber cells,Q101062559,Q101062559,human purkinje fiber cell,Q101404887
28,25,Microglia,Q1622829,Q1622829,human microglia,Q101404888
29,26,Delta cells,Q2621407,Q2621407,human delta cell,Q101404889
30,27,Pinealocytes,Q3241787,Q3241787,human pinealocyte,Q101404890
