,panglao,wikidata
0,BIRC5,Q14763023
1,ST6GALNAC3,Q18053851
2,FXYD7,Q18040676
3,CHEK1,Q17861750
4,SLC9A4,Q18056591
5,CYP1A2,Q14890102
6,GIMAP5,Q18041779
7,GC,Q18025586
8,SEC23B,Q18035422
9,KEL,Q18028243
10,WNT2,Q18032359
11,MYOD1,Q14864492
12,HILS1,Q18056071
14,FUT4,Q18024829
15,GGT7,Q18025864
16,ZAR1,Q18055100
17,CRHR1,Q5173298
18,TOB1,Q18035063
19,DNAAF1,Q18049548
20,WSB2,Q18042134
21,PTPRCAP,Q18030939
22,SPATA46,Q18054362
23,BRINP1,Q17912945
24,SMAD1,Q14903784
25,GPR162,Q18038731
26,NBEA,Q18038524
27,CCKAR,Q5104298
28,TTF1,Q18032218
29,NUSAP1,Q18040094
30,LDB1,Q18033488
31,EVC2,Q18050450
32,MRPS35,Q18045350
33,GRSF1,Q18026565
34,CXCL2,Q18026559
35,CD7,Q17858293
36,GDF3,Q14912039
37,VEGFA,Q18032324
38,SLC36A4,Q18049381
39,RETNLB,Q18047710
40,CPT1B,Q17909191
41,HMGCS1,Q18027026
42,KCNB1,Q18028136
43,RXRB,Q18031337
44,GRIA1,Q18026481
45,PDE6G,Q18030413
46,TSPO2,Q18053569
47,TSSK3,Q18047075
48,NTNG1,Q18036538
49,CNGA4,Q17907830
50,IL2RA,Q18027819
51,CHIA,Q18038682
52,SPTY2D1,Q18051100
53,PLK3,Q17907831
54,PKHD1,Q18030567
55,HPCAL4,Q18040290
56,NKX2-2,Q18030163
57,COL6A2,Q17908052
58,DDR2,Q18030231
59,DEPTOR,Q18045765
60,WDR5,Q18036115
61,OTOGL,Q18054103
62,GRB14,Q18026476
63,IFI30,Q18035383
64,WDR60,Q18041557
65,MYH4,Q18029739
66,AQP7,Q17831432
67,CLDN1,Q18033807
68,VSNL1,Q18032340
69,KRT7,Q14864152
70,NDUFA4L2,Q18042568
71,KLF4,Q18033993
72,RASD1,Q18040485
73,TMEM107,Q18047560
74,CRB1,Q18037166
75,NKTR,Q18030161
76,HIVEP3,Q18251907
77,NAAA,Q18038685
78,C3,Q14874317
79,GAPDH,Q14890078
80,LIPC,Q14914223
81,ADAMTSL4,Q18041056
82,TRAF6,Q14914325
83,SOX11,Q18031656
84,FOXL2,Q5469818
85,SLC25A48,Q18052225
86,STMN1,Q14878175
87,ELMOD3,Q18047444
88,LYVE1,Q18035925
89,RBM38,Q18041853
90,GPC3,Q18026064
91,MT1L,Q18029490
92,FCER1A,Q17927758
93,CCL7,Q14907639
94,MMP28,Q18046026
95,OSBPL5,Q18049100
96,FAM69B,Q18050720
97,CD9,Q15315271
98,RND1,Q18038758
99,GOLGA7B,Q18057759
100,NDNF,Q18046211
101,PKP1,Q18030570
102,SHISA6,Q18056481
103,IRF8,Q18027494
104,SMAD6,Q14904336
105,LMAN2L,Q18047034
106,TNFRSF13C,Q18049166
107,ASMT,Q14913316
108,PCSK2,Q14902484
109,NEUROG1,Q18030059
110,HIVEP2,Q18026906
111,SLCO2B1,Q18036460
112,INS,Q21163221
113,HTRA2,Q5924578
114,H2AFZ,Q18026754
115,RTN4,Q18042923
116,PLA2G10,Q18032891
117,NMU,Q18035907
118,CMTM5,Q18049207
119,SLC28A2,Q18033876
120,ST6GAL1,Q18031497
121,TMEM52B,Q18049414
122,PNMT,Q18030633
123,SEPT6,Q18036950
124,ENPP5,Q18045097
125,FLT3,Q14912399
126,TRDJ1,Q18039056
127,EFCAB10,Q18063244
128,PPDPF,Q18046023
129,CBX4,Q18033080
130,GPR25,Q18026391
131,ITGB2,Q14912067
132,RORB,Q18031206
133,CLSTN3,Q18034639
134,BCAS1,Q18033082
135,TMEM130,Q18053581
136,APOH,Q14911006
137,CSF1R,Q5148523
138,PRDM12,Q18045154
139,TBX1,Q18031845
140,PFKFB3,Q18030482
141,CTRB1,Q17911638
142,CCR6,Q17907808
143,TNS2,Q18037130
144,MUCL1,Q18049314
145,THRA,Q18031986
146,SLC46A2,Q18044736
147,ADGRG1,Q18033970
148,PKLR,Q18030566
149,FGF4,Q17927869
150,MFN2,Q15334407
151,CCL22,Q14907773
152,CLCNKB,Q17862108
153,CD2,Q14907885
154,CGB3,Q17861522
155,CPQ,Q18035357
156,AK8,Q18052370
157,HLA-DOB,Q18026935
158,KRT20,Q14864194
159,GFI1,Q18025777
160,TRPV5,Q15327773
161,CRX,Q17909869
162,MGMT,Q18252301
163,KCNE2,Q14914047
164,DIO3,Q17914006
165,DDX3Y,Q18033187
166,TXLNB,Q18052831
167,RGS4,Q18253738
168,RTP1,Q18050291
169,OLIG2,Q18035130
170,SLC25A47,Q18054167
171,MYCN,Q14906753
172,PDE8A,Q18030417
173,EDIL3,Q18035014
174,SLC24A2,Q18037675
175,PDGFRB,Q18030425
176,NKX6-1,Q18030165
177,RNF151,Q18051452
178,LAMP3,Q4042415
179,CPNE3,Q18033512
180,SPON2,Q18035366
181,CD247,Q17857829
182,THBS4,Q18031981
183,APLN,Q14878211
184,DSG2,Q5264645
185,OLFML2A,Q18052863
186,PSCA,Q18032698
187,IL17RE,Q18050280
188,RGS16,Q18031122
189,CDH16,Q17860136
190,CDKN2A,Q5009957
191,CXCL17,Q18054297
192,DLX2,Q17914016
193,ADPGK,Q18047148
194,CD300E,Q18055506
195,NPPA,Q14860791
196,CARD10,Q18039645
197,NRP1,Q18033463
198,HLA-DRB9,Q18026977
200,PIWIL1,Q18033959
201,PRNP,Q14881255
202,SLC31A2,Q17908744
203,SCGN,Q18035510
204,CREB3L4,Q18051834
205,ANKRD1,Q18038575
206,SPATA18,Q18050441
207,AOC3,Q18033176
208,GABRB3,Q18025122
209,FTL,Q18024732
210,LYZ,Q14862873
211,PHEX,Q14913440
212,SERPINI1,Q18030534
213,QPCT,Q18037696
214,AQP4,Q14902502
215,LHX2,Q18034025
216,CLCA1,Q17862019
217,BYSL,Q17853941
218,SOX5,Q18031652
219,CRISP2,Q18032089
220,ZNF165,Q18032518
221,GCNT2,Q18025678
222,THBD,Q14888283
223,C7,Q5156407
224,ADRA1B,Q17710475
225,RPRML,Q18056491
226,DYNLRB2,Q18047225
227,TREML1,Q18055389
228,GDF5,Q14912046
229,APOC3,Q14910515
230,ZC3H7A,Q18039566
231,PACRG,Q18050597
232,LAMA2,Q18028441
233,PDE3B,Q18030405
234,LTF,Q14864016
235,LIFR,Q14914453
236,ADGRE5,Q17859705
237,AQP6,Q17831370
238,TMEM156,Q18046530
239,HLA-DMA,Q18026924
240,PLCB4,Q18030582
241,EPAS1,Q17916838
242,ABCB1,Q21163344
243,CERK,Q18045752
244,MMP7,Q18029191
245,PRSS3,Q18030825
246,ACO2,Q17709214
247,TNXB,Q14914344
248,AURKB,Q14911664
249,FGF5,Q17927870
250,EPHA4,Q18250397
251,TNF,Q18032037
252,LGALS4,Q18028534
253,CENPA,Q17861256
254,KCNG2,Q18038191
255,COL9A1,Q5145887
256,WRN,Q14883734
257,TNFRSF21,Q18038734
258,NFE2,Q18030083
259,VGLL3,Q18056613
260,CD3E,Q17857659
261,PLET1,Q18055811
262,PIEZO2,Q18045483
263,MYL2,Q18029761
264,GABRP,Q18025185
265,CCR10,Q18026345
266,EHD4,Q18039790
267,CADM4,Q18053129
268,BTNL9,Q18052239
269,DPF1,Q18032761
270,PDE9A,Q18030418
271,PRKG1,Q18030785
272,ANLN,Q18041008
273,IRX2,Q18052238
274,HYAL2,Q18033221
275,CYP11A1,Q14905666
276,SERPINB5,Q15320674
277,PRKCZ,Q18030782
278,CSF3,Q14863119
279,FIGN,Q18041578
280,CETN1,Q17861396
281,LYN,Q15331874
282,ABCC5,Q18034990
283,CTSA,Q14914017
284,SRGAP3,Q18034864
285,HLA-DRB6,Q18026967
286,GAL,Q14904948
287,F2RL1,Q17918484
288,SLC1A6,Q14905292
289,ATXN1,Q14905515
290,RIPK2,Q18033332
291,GIMAP2,Q18038145
292,PIKFYVE,Q18053181
293,CD300A,Q18036463
294,PTX3,Q18030959
295,MYL9,Q14908182
296,DIO2,Q17914005
297,BDP1,Q18042077
298,SPRR1A,Q18031676
299,FOXD1,Q17928740
300,ARHGAP15,Q18042099
301,KHDC3L,Q18052272
302,TRGV9,Q18031917
303,CYP2B6,Q14912267
304,MTTP,Q18029579
305,GNL3,Q18038240
306,RAB3A,Q18030989
307,CEBPD,Q17861086
308,IGF1,Q14863714
309,TUBB3,Q18035338
310,TRO,Q18032176
311,MSH5,Q18029423
312,IFNG,Q18027639
313,PSD3,Q18037123
314,TNFRSF9,Q14913226
315,KLHL41,Q18035296
316,FOXA3,Q18027052
317,OCIAD1,Q18041402
318,EPDR1,Q18041226
319,PDLIM1,Q18033846
320,SHH,Q14860072
321,MFSD2A,Q18047837
322,LGI4,Q18052559
323,TNFRSF10A,Q18033393
324,FABP9,Q18060185
325,MPO,Q21789542
326,DPPA3,Q18055969
327,COLEC12,Q18046841
328,LRRC23,Q18035145
329,TREML2,Q18046418
330,MS4A4A,Q18040227
331,CD160,Q18036139
332,VAMP2,Q18031801
333,CD84,Q18033466
334,SLC3A1,Q14914255
335,NPHS2,Q18032622
336,C11ORF80,Q18046281
337,KCNA5,Q18028123
338,NKAIN4,Q18049876
339,GRIN1,Q18026512
340,RBFOX1,Q18041210
341,EYA4,Q17917387
342,COL4A1,Q5145886
343,SLC5A2,Q15318183
344,PLBD1,Q18046440
345,LY6G6E,Q18046016
347,SLC30A8,Q14907990
348,SWAP70,Q18036704
349,HGD,Q18026884
350,WFIKKN2,Q18049598
351,HLA-DQB1,Q18026952
352,SPEF2,Q11868650
353,CCDC30,Q18061498
354,OLIG1,Q18049235
355,ATP13A5,Q18055618
356,P2RY1,Q18030321
357,SOX15,Q18031657
358,CYR61,Q18027691
359,LRP8,Q18032613
360,HSPB1,Q14905263
361,FBXO32,Q18049116
362,CAVIN1,Q18054260
363,CKMT2,Q17862004
364,UTF1,Q18032925
365,ATRX,Q17835753
366,MATN3,Q18028902
367,MARVELD1,Q18047259
368,ITGB7,Q18028046
369,PRMT8,Q18042380
370,DMKN,Q18048690
371,ATL3,Q18037798
372,PADI2,Q18036424
373,FGL2,Q18035908
374,GPR37,Q18026418
375,LYNX1,Q18045910
376,TULP2,Q18032229
377,DACT1,Q18040228
378,SPHK1,Q14913834
379,NMT1,Q18252670
380,CITED4,Q18052574
381,ZNF503,Q18047812
382,SPATA19,Q18053390
383,DEGS2,Q18049525
384,MEOX2,Q18029035
385,ABCG8,Q18045623
386,LPGAT1,Q18034888
387,C1QL1,Q18035915
388,PUM2,Q18037128
389,SLC11A2,Q14914133
390,CD44,Q14880373
391,SMC1B,Q18038653
392,PAX5,Q18030356
393,DCAF7,Q18035151
394,CRYM,Q17910350
395,BCL3,Q17847309
396,MYO5A,Q15320940
397,TRIM66,Q18034742
398,DUSP15,Q18049916
399,TNP1,Q18032053
400,AZGP1,Q17836600
401,PXDC1,Q18053526
402,CITED1,Q18029412
403,PTGER3,Q18030898
404,IGSF21,Q18047924
405,BNIP3,Q17850131
406,TUBB,Q18053267
407,TMPRSS2,Q18032025
408,PRM1,Q18030807
409,T,Q14885879
410,GP5,Q18026321
411,UBE2O,Q18045481
412,GRM4,Q6594341
413,CD40LG,Q14897851
414,TNS1,Q18032056
415,CABLES1,Q18048562
416,ANO6,Q18053079
417,IGHM,Q18027725
418,CHRNA6,Q18033572
419,SNX21,Q18048185
420,DUSP8,Q17915104
421,KRT15,Q14864225
422,LGALS8,Q18028540
423,FOXO4,Q18029182
424,PDE1B,Q18030419
425,CADM1,Q18037595
426,USMG5,Q18047797
427,DIAPH2,Q17913997
428,ERCC1,Q17917256
429,CERS5,Q18048448
430,KRT19,Q14864204
431,FUT9,Q18035608
432,TMEM212,Q18056626
433,HSD17B1,Q18027312
434,TMEM86A,Q18051101
435,HAL,Q14914011
436,TLR9,Q15332550
437,PTPRB,Q18030937
438,AGRP,Q14872762
439,EXO1,Q18033878
440,FGFR1,Q14914258
441,HCK,Q18026836
442,SOX10,Q18031655
443,COL7A1,Q5145892
444,CACNA1E,Q14911253
445,ZBTB46,Q18050866
446,LIPG,Q18034054
447,ALKBH7,Q18047513
448,TSPAN9,Q18035901
449,FOXC1,Q5469819
450,EML2,Q18037658
451,SFTA2,Q18056647
452,GRAP2,Q18034065
453,PHF1,Q18030514
454,ADM2,Q18046470
455,CD14,Q14887511
456,STAT3,Q14912019
457,BMP6,Q14903748
458,IL18R1,Q18033424
459,NEBL,Q6577768
460,DGKA,Q17912516
461,IGFBP1,Q18027673
462,CYTH3,Q18033955
463,PPL,Q18030696
464,PARN,Q18030351
465,IL17A,Q18027889
466,BLNK,Q20970133
467,PFAS,Q18030472
468,CPM,Q12274528
469,CLDN18,Q18040098
470,SALL1,Q18031372
471,MX1,Q18029685
472,SERPINF2,Q14864955
473,TMEM247,Q18056582
474,PMEPA1,Q18042646
475,CD48,Q17859680
476,BEST4,Q18053962
477,EGFL6,Q18037844
478,CDK5,Q18248262
479,GCG,Q14821391
480,SOCS2,Q18033469
481,TCEAL3,Q18047956
482,TSHR,Q14904941
483,EFNA3,Q17916057
484,LHX1,Q18028551
485,AANAT,Q17695825
486,MUC5B,Q18061232
487,SPATA3,Q18049989
488,DSG4,Q18051579
489,KLHDC4,Q18041235
490,KCNQ1,Q14865150
491,SSPN,Q18032726
492,TRADD,Q14914379
493,PDE3A,Q18030404
494,HJURP,Q18041793
495,S100A4,Q18031350
496,LHFPL3,Q18056164
497,INF2,Q18045670
498,CCR7,Q17907809
499,MYO1C,Q18029782
500,PTPN11,Q14905494
501,FOXA2,Q18027049
502,HIST1H2AC,Q18032832
503,SCN7A,Q18031399
504,HSPA12A,Q18053900
505,GUCA2B,Q18026676
506,CD52,Q17860819
507,SELP,Q14881072
508,CCKBR,Q5104299
509,TRIB2,Q18039511
510,KLF3,Q18040147
511,ACR,Q14864905
512,KLRK1,Q17544382
513,MAFF,Q18037633
514,FCER2,Q14876567
515,XCR1,Q14911554
516,IGFBP7,Q18027689
517,RELN,Q414043
518,HEPACAM2,Q18053680
519,COL2A1,Q14877681
520,LAMB1,Q18028452
521,SBSN,Q18056112
522,AMOTL2,Q18040276
523,SPINK1,Q18031671
524,PDE4D,Q18030409
525,SCGB2A1,Q18029075
526,MS4A8,Q18047230
527,LMCD1,Q18039758
528,HLA-DPA1,Q18026938
529,AKAP12,Q18034404
530,TTC21A,Q18053122
531,THEM4,Q18049275
532,LYPD8,Q18060240
533,SPATA4,Q18050448
534,MSR1,Q18029448
535,WASHC1,Q18065478
536,SSR4,Q18031728
537,PPY,Q18030739
538,KCNJ1,Q14873953
539,METTL5,Q18039579
540,MDFI,Q6715136
541,LCK,Q14885202
542,MANF,Q18032649
543,PBK,Q18042131
544,MROH7,Q18056124
545,PTGDR2,Q18036432
546,CNR1,Q21163314
