,official gene symbol,cell type
0,CTRB1,Acinar cells
1,KLK1,Acinar cells
2,RBPJL,Acinar cells
3,PTF1A,Acinar cells
5,CELA3A,Acinar cells
6,PRSS1,Acinar cells
8,SPINK1,Acinar cells
9,ZG16,Acinar cells
10,CEL,Acinar cells
11,CELA2A,Acinar cells
13,CPB1,Acinar cells
14,CELA1,Acinar cells
16,RNASE1,Acinar cells
17,AMY2B,Acinar cells
18,CPA2,Acinar cells
19,CPA1,Acinar cells
20,CELA3B,Acinar cells
21,PNLIP,Acinar cells
22,CTRB2,Acinar cells
23,PLA2G1B,Acinar cells
24,PRSS2,Acinar cells
25,CLPS,Acinar cells
26,REG1A,Acinar cells
27,SYCN,Acinar cells
28,PNLIPRP1,Acinar cells
29,CTRC,Acinar cells
30,REG3A,Acinar cells
31,SERPINA3,Acinar cells
32,PRSS3,Acinar cells
33,REG1B,Acinar cells
34,CFB,Acinar cells
35,GDF15,Acinar cells
36,MUC1,Acinar cells
37,C15ORF48,Acinar cells
38,DUOXA2,Acinar cells
39,AKR1C3,Acinar cells
40,OLFM4,Acinar cells
41,GSTA1,Acinar cells
42,LGALS2,Acinar cells
43,PDZK1IP1,Acinar cells
44,RARRES2,Acinar cells
45,CXCL17,Acinar cells
46,UBD,Acinar cells
47,GSTA2,Acinar cells
48,ANPEP,Acinar cells
49,LYZ,Acinar cells
50,ANGPTL4,Acinar cells
51,ALDOB,Acinar cells
52,CEBPA,Adipocyte progenitor cells
53,EGFR,Adipocyte progenitor cells
54,FGF10,Adipocyte progenitor cells
55,GSC,Adipocyte progenitor cells
56,MMP3,Adipocyte progenitor cells
57,PPARG,Adipocyte progenitor cells
58,TWIST2,Adipocyte progenitor cells
59,GATA3,Adipocyte progenitor cells
60,GLI1,Adipocyte progenitor cells
61,SMO,Adipocyte progenitor cells
62,STAB1,Adipocyte progenitor cells
63,WISP2,Adipocyte progenitor cells
64,WT1,Adipocyte progenitor cells
65,SCARA5,Adipocyte progenitor cells
66,HOXC8,Adipocyte progenitor cells
67,TCF7L1,Adipocyte progenitor cells
68,HOXC9,Adipocyte progenitor cells
69,HOXC6,Adipocyte progenitor cells
70,HOXC4,Adipocyte progenitor cells
71,ZNF521,Adipocyte progenitor cells
72,SULT1E1,Adipocyte progenitor cells
73,EBF2,Adipocyte progenitor cells
74,NRG4,Adipocyte progenitor cells
75,SLC36A2,Adipocytes
76,P2RX5,Adipocytes
77,LEP,Adipocytes
78,UCP1,Adipocytes
79,CIDEA,Adipocytes
80,PRDM16,Adipocytes
81,LHX8,Adipocytes
82,EPSTI1,Adipocytes
83,MC2R,Adipocytes
84,FFAR2,Adipocytes
85,PIKFYVE,Adipocytes
86,CYP11B2,Adipocytes
87,TLR2,Adipocytes
88,TLR4,Adipocytes
89,ADRB1,Adipocytes
90,ADRB2,Adipocytes
91,ADRB3,Adipocytes
92,FABP4,Adipocytes
93,TNFRSF9,Adipocytes
94,TBX1,Adipocytes
95,TMEM26,Adipocytes
96,TCF21,Adipocytes
97,ADIPOQ,Adipocytes
98,CFD,Adipocytes
99,ACVR1C,Adipocytes
100,SLC2A4,Adipocytes
101,LPIN1,Adipocytes
102,PLIN1,Adipocytes
103,PCK1,Adipocytes
104,PPARG,Adipocytes
105,RETN,Adipocytes
106,MEST,Adipocytes
107,ADM2,Adipocytes
108,STAT6,Adipocytes
109,TFE3,Adipocytes
110,CPPED1,Adipocytes
111,APPL2,Adipocytes
112,APOL6,Adipocytes
113,PXMP2,Adipocytes
114,CAVIN1,Adipocytes
115,AGT,Adipocytes
116,SLC1A5,Adipocytes
117,ACSL1,Adipocytes
119,BCAT2,Adipocytes
120,PNPLA2,Adipocytes
121,CIDEC,Adipocytes
122,CDO1,Adipocytes
123,APOC1,Adipocytes
124,MMP2,Adipocytes
125,POSTN,Adipocytes
126,LOX,Adipocytes
127,COL6A2,Adipocytes
128,ZBTB16,Adipocytes
129,GULP1,Adipocytes
130,FZD4,Adipocytes
131,TRIP10,Adipocytes
132,FGF7,Adipocytes
133,MAOB,Adipocytes
134,SOCS1,Adipocytes
135,ARNT,Adipocytes
136,SULT1A1,Adipocytes
137,NNMT,Adipocytes
138,AOC3,Adipocytes
139,H6PD,Adipocytes
140,CYP27A1,Adipocytes
141,EBF2,Adipocytes
142,MNDA,Adipocytes
143,HSD11B1,Adipocytes
144,AR,Adipocytes
145,GDF10,Adipocytes
146,CYP1B1,Adipocytes
147,COL5A3,Adipocytes
148,STEAP4,Adipocytes
149,CCL11,Adipocytes
150,NR1H3,Adipocytes
151,DEPTOR,Adipocytes
152,CYTH3,Adipocytes
154,FMO1,Adipocytes
155,ACADSB,Adipocytes
156,XDH,Adipocytes
157,RSPO3,Adipocytes
158,PTGES,Adipocytes
159,CREB3L1,Adipocytes
160,ANGPTL2,Adipocytes
161,ADAM12,Adipocytes
163,LBP,Adipocytes
164,NMB,Adipocytes
165,RARRES2,Adipocytes
166,FST,Adipocytes
167,EGFR,Adipocytes
168,CPXM1,Adipocytes
169,C3,Adipocytes
170,ADAMTS5,Adipocytes
171,MT2A,Adipocytes
172,TIMP1,Adipocytes
173,METRN,Adipocytes
174,METRNL,Adipocytes
175,MYO1C,Adipocytes
176,NQO1,Adipocytes
177,SYAP1,Adipocytes
178,CRNDE,Adipocytes
179,AQP5,Adipocytes
180,TSPO,Adipocytes
181,AZGP1,Adipocytes
182,LRP1,Adipocytes
183,PDE3B,Adipocytes
184,LGALS12,Adipocytes
185,SERPINF1,Adipocytes
186,CPT1B,Adipocytes
187,ELOVL3,Adipocytes
188,PPARGC1A,Adipocytes
189,MPZL1,Adipocytes
190,CITED1,Adipocytes
191,DPT,Adipocytes
192,HOXC9,Adipocytes
193,ZNF423,Adipocytes
194,ESM1,Adipocytes
195,TH,Adrenergic neurons
196,DDC,Adrenergic neurons
197,DBH,Adrenergic neurons
198,PNMT,Adrenergic neurons
199,SLC18A2,Adrenergic neurons
200,NPFF,Adrenergic neurons
201,SLC12A7,Adrenergic neurons
202,SYT1,Adrenergic neurons
203,AQP1,Airway epithelial cells
204,ADH7,Airway epithelial cells
205,CDH1,Airway epithelial cells
206,SEC14L3,Airway epithelial cells
207,MUC5B,Airway goblet cells
208,MUC16,Airway goblet cells
209,LTF,Airway goblet cells
210,SCGB3A1,Airway goblet cells
212,DMBT1,Airway goblet cells
215,LIPF,Airway goblet cells
217,MSLN,Airway goblet cells
218,AGR2,Airway goblet cells
219,GP2,Airway goblet cells
220,PIGR,Airway goblet cells
221,TFF2,Airway goblet cells
222,AQP5,Airway goblet cells
224,QSOX1,Airway goblet cells
225,FXYD3,Airway goblet cells
226,SEC23B,Airway goblet cells
227,CEACAM1,Airway goblet cells
228,GOLPH3,Airway goblet cells
229,GGH,Airway goblet cells
230,GALNT5,Airway goblet cells
231,GALNT6,Airway goblet cells
232,MUC5AC,Airway goblet cells
233,MUC4,Airway goblet cells
234,MUC20,Airway goblet cells
235,SPDEF,Airway goblet cells
236,DUSP4,Airway goblet cells
237,NOG,Airway smooth muscle cells
238,ACTA2,Airway smooth muscle cells
239,FOXF1,Airway smooth muscle cells
240,GATA5,Airway smooth muscle cells
241,GCG,Alpha cells
242,TTR,Alpha cells
243,GLP1R,Alpha cells
244,ARX,Alpha cells
245,POU3F4,Alpha cells
246,NKX2-2,Alpha cells
247,RESP18,Alpha cells
248,PYY,Alpha cells
249,PCSK2,Alpha cells
250,SLC38A5,Alpha cells
251,TM4SF4,Alpha cells
252,CRYBA2,Alpha cells
253,NKX6-1,Alpha cells
254,KCNK16,Alpha cells
255,PCSK1,Alpha cells
256,PRRG2,Alpha cells
257,IRX2,Alpha cells
258,ALDH1A1,Alpha cells
259,PEMT,Alpha cells
260,CHGA,Alpha cells
262,SMIM24,Alpha cells
263,F10,Alpha cells
264,SCGN,Alpha cells
265,SLC30A8,Alpha cells
266,SH3GL2,Alpha cells
267,SCGB2A1,Alpha cells
268,FAP,Alpha cells
269,DPP4,Alpha cells
270,GPR119,Alpha cells
271,MAFB,Alpha cells
272,PAX6,Alpha cells
273,NEUROD1,Alpha cells
274,LOXL4,Alpha cells
275,PLCE1,Alpha cells
276,GC,Alpha cells
277,KLHL41,Alpha cells
278,FEV,Alpha cells
279,PTGER3,Alpha cells
280,RFX6,Alpha cells
281,SMARCA1,Alpha cells
282,PGR,Alpha cells
283,LDB2,Alpha cells
284,IRX1,Alpha cells
285,UCP2,Alpha cells
286,FXYD5,Alpha cells
287,RGS4,Alpha cells
288,GLS,Alpha cells
290,PLET1,Alveolar macrophages
291,IL1B,Alveolar macrophages
294,CCL3,Alveolar macrophages
295,G0S2,Alveolar macrophages
296,CXCL2,Alveolar macrophages
297,MCEMP1,Alveolar macrophages
298,KLHDC4,Alveolar macrophages
300,GDA,Alveolar macrophages
301,CLEC7A,Alveolar macrophages
303,ITGAX,Alveolar macrophages
304,TNFAIP2,Alveolar macrophages
305,CD36,Alveolar macrophages
306,GAL,Alveolar macrophages
309,TLR2,Alveolar macrophages
310,GPNMB,Alveolar macrophages
311,MRC1,Alveolar macrophages
313,MARCO,Alveolar macrophages
314,CSF2RB,Alveolar macrophages
315,MPP1,Alveolar macrophages
316,TRIM25,Alveolar macrophages
318,OLR1,Alveolar macrophages
319,S100A4,Alveolar macrophages
320,GNGT2,Alveolar macrophages
322,AGA,Anterior pituitary gland cells
323,ANGPT1,Anterior pituitary gland cells
324,CHGA,Anterior pituitary gland cells
325,CPEB4,Anterior pituitary gland cells
328,IGSF1,Anterior pituitary gland cells
329,MEST,Anterior pituitary gland cells
330,NKTR,Anterior pituitary gland cells
331,NUCB2,Anterior pituitary gland cells
332,PITX2,Anterior pituitary gland cells
333,POU1F1,Anterior pituitary gland cells
334,PRL,Anterior pituitary gland cells
335,RAB27A,Anterior pituitary gland cells
336,RCN3,Anterior pituitary gland cells
337,SEZ6L2,Anterior pituitary gland cells
338,SIX6,Anterior pituitary gland cells
339,TBRG1,Anterior pituitary gland cells
340,TMEM130,Anterior pituitary gland cells
341,POMC,Anterior pituitary gland cells
342,GMPPA,Anterior pituitary gland cells
344,GNB3,Anterior pituitary gland cells
345,HEPACAM2,Anterior pituitary gland cells
346,ASB4,Anterior pituitary gland cells
347,RAX,Anterior pituitary gland cells
348,NKX2-1,Anterior pituitary gland cells
349,FGF10,Anterior pituitary gland cells
350,FSHB,Anterior pituitary gland cells
351,PCSK1,Anterior pituitary gland cells
