official gene symbol,item
CTRB1,Q18261856
CTRB1,Q18261856
KLK1,Q18251870
KLK1,Q18251870
KLK1,Q18251870
KLK1,Q18251870
KLK1,Q18251870
KLK1,Q18251870
KLK1,Q18251870
RBPJL,Q18253693
PTF1A,Q18253307
PTF1A,Q18253307
TRY4,Q18255139
TRY4,Q18255139
CELA3A,Q18299076
PRSS1,Q18294808
PRSS1,Q18294808
AMY2A2,Q18317944
SPINK1,Q18254292
SPINK1,Q18254292
ZG16,Q18263486
ZG16,Q18263486
CEL,Q18248288
CELA2A,Q18250351
AMY2A3,Q18317942
CPB1,Q18268154
CELA1,Q18273993
CELA1,Q18273993
AMY2A5,Q18274029
RNASE1,Q18253746
RNASE1,Q18253746
RNASE1,Q18253746
AMY2B,Q18306050
CPA2,Q18298110
CPA1,Q18273831
CPA1,Q18273831
CELA3B,Q18262837
PNLIP,Q14865262
PLA2G1B,Q18253077
PLA2G1B,Q18253077
PRSS2,Q18255137
PRSS2,Q18255137
CLPS,Q14878169
CLPS,Q14878169
SYCN,Q18263173
SYCN,Q18263173
PNLIPRP1,Q18253140
PNLIPRP1,Q18253140
CTRC,Q18268153
REG3A,Q18253705
REG3A,Q18253705
PRSS3,Q18255138
CFB,Q21823248
CFB,Q21823248
GDF15,Q14912151
GDF15,Q14912151
GDF15,Q14912151
MUC1,Q18252481
MUC1,Q18252481
MUC1,Q18252481
MUC1,Q18252481
MUC1,Q18252481
MUC1,Q18252481
MUC1,Q18252481
MUC1,Q18252481
DUOXA2,Q18262084
OLFM4,Q18303277
OLFM4,Q18303277
GSTA1,Q18250996
GSTA1,Q18250996
GSTA1,Q18250996
LGALS2,Q18272731
LGALS2,Q18272731
LGALS2,Q18272731
LGALS2,Q18272731
LGALS2,Q18272731
PDZK1IP1,Q18262348
PDZK1IP1,Q18262348
PDZK1IP1,Q18262348
RARRES2,Q18264984
RARRES2,Q18264984
RARRES2,Q18264984
RARRES2,Q18264984
RARRES2,Q18264984
RARRES2,Q18264984
RARRES2,Q18264984
CXCL17,Q18298160
CXCL17,Q18298160
UBD,Q18255684
GSTA2,Q18250998
GSTA2,Q18250998
GSTA2,Q18250998
ANPEP,Q14864887
ANPEP,Q14864887
ANPEP,Q14864887
ANPEP,Q14864887
ANPEP,Q14864887
ANPEP,Q14864887
ANPEP,Q14864887
ANGPTL4,Q18258806
ANGPTL4,Q18258806
ALDOB,Q21518794
ALDOB,Q21518794
CEBPA,Q18248283
CEBPA,Q18248283
CEBPA,Q18248283
CEBPA,Q18248283
CEBPA,Q18248283
CEBPA,Q18248283
CEBPA,Q18248283
EGFR,Q18250328
EGFR,Q18250328
EGFR,Q18250328
EGFR,Q18250328
EGFR,Q18250328
EGFR,Q18250328
EGFR,Q18250328
EGFR,Q18250328
FGF10,Q18250563
FGF10,Q18250563
FGF10,Q18250563
GSC,Q18250987
MMP3,Q18252337
MMP3,Q18252337
PPARG,Q18253181
PPARG,Q18253181
PPARG,Q18253181
PPARG,Q18253181
PPARG,Q18253181
PPARG,Q18253181
PPARG,Q18253181
PPARG,Q18253181
TWIST2,Q18250171
TWIST2,Q18250171
GATA3,Q18250752
GATA3,Q18250752
GATA3,Q18250752
GATA3,Q18250752
GATA3,Q18250752
GATA3,Q18250752
GATA3,Q18250752
GLI1,Q14886436
GLI1,Q14886436
SMO,Q18301609
SMO,Q18301609
STAB1,Q18295815
STAB1,Q18295815
STAB1,Q18295815
STAB1,Q18295815
WISP2,Q18255356
WISP2,Q18255356
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
WT1,Q18255379
SCARA5,Q18264684
SCARA5,Q18264684
