,official gene symbol,cell type (general),cell type id (human),gene id
0,CEBPA,Adipocyte progenitor cells,Q101404942,Q17861031
1,CEBPA,Adipocyte progenitor cells,Q101404943,Q17861031
2,CEBPA,Basophils,Q101405089,Q17861031
3,CEBPA,Hepatoblasts,Q101404910,Q17861031
4,CEBPA,Hepatocytes,Q101405101,Q17861031
5,CEBPA,Microglia,Q101404888,Q17861031
6,CEBPA,Pulmonary alveolar type II cells,Q101404950,Q17861031
7,CEBPA,Sebocytes,Q101405069,Q17861031
8,EGFR,Adipocyte progenitor cells,Q101404942,Q14865565
9,EGFR,Adipocyte progenitor cells,Q101404943,Q14865565
10,EGFR,Adipocytes,Q101405079,Q14865565
11,EGFR,Bergmann glia,Q101404920,Q14865565
12,EGFR,Gastric chief cells,Q101404916,Q14865565
13,EGFR,Germ cells,Q101404931,Q14865565
14,EGFR,Myoblasts,Q101404940,Q14865565
15,EGFR,Myoepithelial cells,Q101404924,Q14865565
16,EGFR,Neuroblasts,Q101405031,Q14865565
17,FGF10,Adipocyte progenitor cells,Q101404942,Q17927902
18,FGF10,Adipocyte progenitor cells,Q101404943,Q17927902
19,FGF10,Anterior pituitary gland cells,Q101405034,Q17927902
20,FGF10,Hepatic stellate cells,Q101404946,Q17927902
21,GSC,Adipocyte progenitor cells,Q101404942,Q18051386
22,GSC,Adipocyte progenitor cells,Q101404943,Q18051386
23,MMP3,Adipocyte progenitor cells,Q101404942,Q13033724
24,MMP3,Adipocyte progenitor cells,Q101404943,Q13033724
25,MMP3,Fibroblasts,Q101404861,Q13033724
26,PPARG,Adipocyte progenitor cells,Q101404942,Q20970208
27,PPARG,Adipocyte progenitor cells,Q101404943,Q20970208
28,PPARG,Adipocytes,Q101405079,Q20970208
29,PPARG,Enterocytes,Q101405073,Q20970208
30,PPARG,Hepatic stellate cells,Q101404946,Q20970208
31,PPARG,Macrophages,Q101405081,Q20970208
32,PPARG,Megakaryocytes,Q101404874,Q20970208
33,PPARG,Melanocytes,Q101404894,Q20970208
34,PPARG,T helper cells,Q101423298,Q20970208
35,PPARG,T helper cells,Q101404876,Q20970208
36,TWIST2,Adipocyte progenitor cells,Q101404942,Q18049301
37,TWIST2,Adipocyte progenitor cells,Q101404943,Q18049301
38,TWIST2,Fibroblasts,Q101404861,Q18049301
39,GATA3,Adipocyte progenitor cells,Q101404942,Q18025464
40,GATA3,Adipocyte progenitor cells,Q101404943,Q18025464
41,GATA3,Hematopoietic stem cells,Q101405052,Q18025464
42,GATA3,Mesangial cells,Q101405121,Q18025464
43,GATA3,Natural killer T cells,Q101404895,Q18025464
44,GATA3,Nuocytes,Q101405037,Q18025464
45,GATA3,Principal cells,Q101404911,Q18025464
46,GATA3,T helper cells,Q101423298,Q18025464
47,GATA3,T helper cells,Q101404876,Q18025464
48,GLI1,Adipocyte progenitor cells,Q101404942,Q14886430
49,GLI1,Adipocyte progenitor cells,Q101404943,Q14886430
50,GLI1,Pericytes,Q101405045,Q14886430
51,SMO,Adipocyte progenitor cells,Q101404942,Q18031607
52,SMO,Adipocyte progenitor cells,Q101404943,Q18031607
53,SMO,Chondrocytes,Q101405092,Q18031607
54,STAB1,Adipocyte progenitor cells,Q101404942,Q18036959
55,STAB1,Adipocyte progenitor cells,Q101404943,Q18036959
56,STAB1,Endothelial cells,Q101404908,Q18036959
57,STAB1,Endothelial cells (aorta),Q101404926,Q18036959
58,STAB1,Macrophages,Q101405081,Q18036959
59,WISP2,Adipocyte progenitor cells,Q101404942,Q18033473
60,WISP2,Adipocyte progenitor cells,Q101404943,Q18033473
61,WISP2,Osteoblasts,Q101405044,Q18033473
62,WT1,Adipocyte progenitor cells,Q101404942,Q18032376
63,WT1,Adipocyte progenitor cells,Q101404943,Q18032376
